ContactId,FirstName,LastName,Email,Type,AccountId
CT00120,Marco,Verdi,user120@mail.com,B2B,AC0210
CT00121,Sara,Costa,user121@mail.com,B2B,AC0040
CT00123,Giulia,Rossi,user123@mail.com,B2B,AC0187
CT00127,Giulia,Verdi,user127@mail.com,B2B,AC0020
CT00128,Paolo,Verdi,user128@mail.com,B2B,AC0110
CT00130,Paolo,Bianchi,user130@mail.com,B2B,AC0277
CT00131,Anna,Verdi,user131@mail.com,B2B,AC0024
CT00133,Anna,Rossi,user133@mail.com,B2B,AC0292
CT00134,Giulia,Verdi,user134@mail.com,B2B,AC0070
CT00139,Giulia,Rossi,user139@mail.com,B2B,AC0094
CT00147,Sara,Rossi,user147@mail.com,B2B,AC0288
CT00148,Anna,Verdi,user148@mail.com,B2B,AC0178
CT00150,Giulia,Verdi,user150@mail.com,B2B,AC0202
CT00151,Paolo,Costa,user151@mail.com,B2B,AC0033
CT00152,Luca,Rossi,user152@mail.com,B2B,AC0100
CT00155,Marco,Costa,user155@mail.com,B2B,AC0159
CT00159,Giulia,Costa,user159@mail.com,B2B,AC0205
CT00160,Anna,Neri,user160@mail.com,B2B,AC0089
CT00161,Marco,Verdi,user161@mail.com,B2B,AC0221
CT00162,Marco,Rossi,user162@mail.com,B2B,AC0159
CT00163,Sara,Bianchi,user163@mail.com,B2B,AC0062
CT00167,Anna,Verdi,user167@mail.com,B2B,AC0045
CT00168,Giulia,Costa,user168@mail.com,B2B,AC0292
CT00176,Paolo,Costa,user176@mail.com,B2B,AC0058
CT00178,Paolo,Verdi,user178@mail.com,B2B,AC0218
CT00183,Anna,Rossi,user183@mail.com,B2B,AC0044
CT00184,Anna,Bianchi,user184@mail.com,B2B,AC0121
CT00188,Sara,Rossi,user188@mail.com,B2B,AC0207
CT00189,Anna,Rossi,user189@mail.com,B2B,AC0005
CT00190,Marco,Verdi,user190@mail.com,B2B,AC0109
CT00191,Paolo,Verdi,user191@mail.com,B2B,AC0012
CT00193,Paolo,Bianchi,user193@mail.com,B2B,AC0285
CT00194,Anna,Costa,user194@mail.com,B2B,AC0182
CT00196,Paolo,Rossi,user196@mail.com,B2B,AC0163
CT00199,Marco,Bianchi,user199@mail.com,B2B,AC0163
CT00200,Sara,Rossi,user200@mail.com,B2B,AC0095
CT00203,Paolo,Neri,user203@mail.com,B2B,AC0248
CT00205,Marco,Rossi,user205@mail.com,B2B,AC0033
CT00206,Marco,Rossi,user206@mail.com,B2B,AC0083
CT00211,Luca,Costa,user211@mail.com,B2B,AC0030
CT00214,Luca,Verdi,user214@mail.com,B2B,AC0134
CT00216,Anna,Verdi,user216@mail.com,B2B,AC0244
CT00217,Giulia,Costa,user217@mail.com,B2B,AC0066
CT00218,Luca,Rossi,user218@mail.com,B2B,AC0009
CT00219,Sara,Verdi,user219@mail.com,B2B,AC0274
CT00220,Luca,Bianchi,user220@mail.com,B2B,AC0249
CT00221,Marco,Bianchi,user221@mail.com,B2B,AC0221
CT00224,Giulia,Neri,user224@mail.com,B2B,AC0072
CT00226,Marco,Verdi,user226@mail.com,B2B,AC0027
CT00227,Paolo,Bianchi,user227@mail.com,B2B,AC0222
CT00229,Giulia,Rossi,user229@mail.com,B2B,AC0009
CT00231,Paolo,Bianchi,user231@mail.com,B2B,AC0074
CT00236,Paolo,Bianchi,user236@mail.com,B2B,AC0010
CT00237,Paolo,Costa,user237@mail.com,B2B,AC0114
CT00238,Anna,Verdi,user238@mail.com,B2B,AC0209
CT00241,Anna,Costa,user241@mail.com,B2B,AC0205
CT00242,Sara,Neri,user242@mail.com,B2B,AC0260
CT00244,Paolo,Neri,user244@mail.com,B2B,AC0031
CT00245,Paolo,Neri,user245@mail.com,B2B,AC0214
CT00248,Giulia,Rossi,user248@mail.com,B2B,AC0288
CT00250,Giulia,Neri,user250@mail.com,B2B,AC0101
CT00252,Paolo,Rossi,user252@mail.com,B2B,AC0090
CT00256,Marco,Verdi,user256@mail.com,B2B,AC0239
CT00257,Marco,Bianchi,user257@mail.com,B2B,AC0025
CT00261,Giulia,Neri,user261@mail.com,B2B,AC0282
CT00262,Giulia,Neri,user262@mail.com,B2B,AC0061
CT00266,Sara,Bianchi,user266@mail.com,B2B,AC0239
CT00267,Giulia,Neri,user267@mail.com,B2B,AC0206
CT00274,Giulia,Neri,user274@mail.com,B2B,AC0204
CT00275,Giulia,Costa,user275@mail.com,B2B,AC0195
CT00276,Paolo,Costa,user276@mail.com,B2B,AC0160
CT00278,Sara,Rossi,user278@mail.com,B2B,AC0031
CT00280,Sara,Bianchi,user280@mail.com,B2B,AC0213
CT00282,Giulia,Bianchi,user282@mail.com,B2B,AC0243
CT00285,Giulia,Costa,user285@mail.com,B2B,AC0110
CT00286,Marco,Bianchi,user286@mail.com,B2B,AC0289
CT00288,Anna,Verdi,user288@mail.com,B2B,AC0261
CT00289,Paolo,Verdi,user289@mail.com,B2B,AC0075
CT00290,Sara,Verdi,user290@mail.com,B2B,AC0010
CT00291,Paolo,Costa,user291@mail.com,B2B,AC0135
CT00293,Luca,Verdi,user293@mail.com,B2B,AC0223
CT00299,Anna,Neri,user299@mail.com,B2B,AC0282
CT00300,Paolo,Verdi,user300@mail.com,B2B,AC0085
CT00302,Marco,Neri,user302@mail.com,B2B,AC0274
CT00306,Sara,Verdi,user306@mail.com,B2B,AC0258
CT00307,Marco,Neri,user307@mail.com,B2B,AC0259
CT00311,Sara,Verdi,user311@mail.com,B2B,AC0282
CT00314,Luca,Rossi,user314@mail.com,B2B,AC0150
CT00318,Marco,Bianchi,user318@mail.com,B2B,AC0011
CT00319,Anna,Rossi,user319@mail.com,B2B,AC0228
CT00320,Marco,Neri,user320@mail.com,B2B,AC0189
CT00322,Anna,Rossi,user322@mail.com,B2B,AC0107
CT00323,Paolo,Neri,user323@mail.com,B2B,AC0107
CT00325,Giulia,Bianchi,user325@mail.com,B2B,AC0245
CT00326,Luca,Rossi,user326@mail.com,B2B,AC0272
CT00329,Giulia,Costa,user329@mail.com,B2B,AC0149
CT00330,Anna,Bianchi,user330@mail.com,B2B,AC0147
CT00332,Giulia,Bianchi,user332@mail.com,B2B,AC0258
CT00333,Luca,Costa,user333@mail.com,B2B,AC0249
CT00338,Anna,Costa,user338@mail.com,B2B,AC0042
CT00345,Marco,Neri,user345@mail.com,B2B,AC0228
CT00347,Sara,Rossi,user347@mail.com,B2B,AC0105
CT00348,Giulia,Bianchi,user348@mail.com,B2B,AC0129
CT00353,Luca,Rossi,user353@mail.com,B2B,AC0045
CT00355,Anna,Rossi,user355@mail.com,B2B,AC0185
CT00356,Sara,Rossi,user356@mail.com,B2B,AC0100
CT00357,Luca,Rossi,user357@mail.com,B2B,AC0007
CT00361,Anna,Neri,user361@mail.com,B2B,AC0296
CT00362,Sara,Neri,user362@mail.com,B2B,AC0024
CT00365,Giulia,Costa,user365@mail.com,B2B,AC0123
CT00366,Anna,Costa,user366@mail.com,B2B,AC0281
CT00368,Marco,Rossi,user368@mail.com,B2B,AC0187
CT00371,Paolo,Costa,user371@mail.com,B2B,AC0013
CT00375,Paolo,Verdi,user375@mail.com,B2B,AC0158
CT00379,Sara,Costa,user379@mail.com,B2B,AC0164
CT00382,Anna,Bianchi,user382@mail.com,B2B,AC0254
CT00386,Luca,Costa,user386@mail.com,B2B,AC0195
CT00387,Marco,Costa,user387@mail.com,B2B,AC0201
CT00388,Giulia,Verdi,user388@mail.com,B2B,AC0013
CT00390,Luca,Rossi,user390@mail.com,B2B,AC0271
CT00391,Marco,Verdi,user391@mail.com,B2B,AC0120
CT00392,Luca,Rossi,user392@mail.com,B2B,AC0204
CT00393,Paolo,Verdi,user393@mail.com,B2B,AC0132
CT00394,Paolo,Costa,user394@mail.com,B2B,AC0141
CT00395,Luca,Verdi,user395@mail.com,B2B,AC0297
CT00397,Giulia,Costa,user397@mail.com,B2B,AC0045
CT00399,Anna,Neri,user399@mail.com,B2B,AC0212
CT00400,Giulia,Verdi,user400@mail.com,B2B,AC0252
CT00401,Marco,Neri,user401@mail.com,B2B,AC0125
CT00407,Marco,Rossi,user407@mail.com,B2B,AC0095
CT00412,Anna,Bianchi,user412@mail.com,B2B,AC0101
CT00413,Sara,Rossi,user413@mail.com,B2B,AC0210
CT00417,Giulia,Neri,user417@mail.com,B2B,AC0160
CT00420,Marco,Verdi,user420@mail.com,B2B,AC0186
CT00421,Sara,Verdi,user421@mail.com,B2B,AC0199
CT00422,Luca,Neri,user422@mail.com,B2B,AC0277
CT00423,Giulia,Bianchi,user423@mail.com,B2B,AC0064
CT00424,Luca,Rossi,user424@mail.com,B2B,AC0258
CT00428,Sara,Bianchi,user428@mail.com,B2B,AC0200
CT00438,Paolo,Rossi,user438@mail.com,B2B,AC0253
CT00439,Giulia,Verdi,user439@mail.com,B2B,AC0006
CT00441,Giulia,Costa,user441@mail.com,B2B,AC0051
CT00442,Marco,Costa,user442@mail.com,B2B,AC0121
CT00443,Luca,Neri,user443@mail.com,B2B,AC0091
CT00447,Paolo,Neri,user447@mail.com,B2B,AC0145
CT00449,Paolo,Neri,user449@mail.com,B2B,AC0228
CT00453,Marco,Verdi,user453@mail.com,B2B,AC0188
CT00456,Anna,Costa,user456@mail.com,B2B,AC0218
CT00457,Giulia,Rossi,user457@mail.com,B2B,AC0016
CT00460,Anna,Costa,user460@mail.com,B2B,AC0171
CT00461,Sara,Costa,user461@mail.com,B2B,AC0064
CT00462,Marco,Rossi,user462@mail.com,B2B,AC0018
CT00466,Giulia,Neri,user466@mail.com,B2B,AC0258
CT00467,Paolo,Costa,user467@mail.com,B2B,AC0121
CT00469,Marco,Neri,user469@mail.com,B2B,AC0012
CT00474,Anna,Verdi,user474@mail.com,B2B,AC0229
CT00479,Sara,Bianchi,user479@mail.com,B2B,AC0087
CT00480,Marco,Rossi,user480@mail.com,B2B,AC0042
CT00481,Luca,Neri,user481@mail.com,B2B,AC0145
CT00482,Anna,Neri,user482@mail.com,B2B,AC0076
CT00483,Anna,Verdi,user483@mail.com,B2B,AC0112
CT00488,Marco,Neri,user488@mail.com,B2B,AC0234
CT00491,Giulia,Neri,user491@mail.com,B2B,AC0113
CT00492,Sara,Neri,user492@mail.com,B2B,AC0171
CT00493,Luca,Verdi,user493@mail.com,B2B,AC0295
CT00495,Marco,Bianchi,user495@mail.com,B2B,AC0275
CT00496,Sara,Costa,user496@mail.com,B2B,AC0147
CT00498,Paolo,Rossi,user498@mail.com,B2B,AC0271
CT00501,Marco,Verdi,user501@mail.com,B2B,AC0035
CT00502,Luca,Neri,user502@mail.com,B2B,AC0174
CT00503,Luca,Verdi,user503@mail.com,B2B,AC0018
CT00504,Sara,Bianchi,user504@mail.com,B2B,AC0154
CT00507,Luca,Verdi,user507@mail.com,B2B,AC0204
CT00508,Giulia,Rossi,user508@mail.com,B2B,AC0019
CT00509,Anna,Costa,user509@mail.com,B2B,AC0049
CT00510,Anna,Verdi,user510@mail.com,B2B,AC0299
CT00513,Giulia,Costa,user513@mail.com,B2B,AC0056
CT00516,Luca,Rossi,user516@mail.com,B2B,AC0072
CT00517,Marco,Costa,user517@mail.com,B2B,AC0132
CT00520,Marco,Costa,user520@mail.com,B2B,AC0244
CT00521,Paolo,Verdi,user521@mail.com,B2B,AC0212
CT00524,Paolo,Bianchi,user524@mail.com,B2B,AC0293
CT00530,Paolo,Rossi,user530@mail.com,B2B,AC0299
CT00531,Paolo,Neri,user531@mail.com,B2B,AC0110
CT00533,Anna,Verdi,user533@mail.com,B2B,AC0015
CT00535,Marco,Verdi,user535@mail.com,B2B,AC0197
CT00536,Anna,Rossi,user536@mail.com,B2B,AC0113
CT00538,Marco,Bianchi,user538@mail.com,B2B,AC0121
CT00539,Paolo,Rossi,user539@mail.com,B2B,AC0233
CT00541,Anna,Rossi,user541@mail.com,B2B,AC0297
CT00542,Giulia,Costa,user542@mail.com,B2B,AC0216
CT00543,Giulia,Costa,user543@mail.com,B2B,AC0040
CT00544,Sara,Verdi,user544@mail.com,B2B,AC0061
CT00545,Luca,Rossi,user545@mail.com,B2B,AC0086
CT00548,Paolo,Costa,user548@mail.com,B2B,AC0131
CT00549,Giulia,Verdi,user549@mail.com,B2B,AC0128
CT00550,Giulia,Costa,user550@mail.com,B2B,AC0235
CT00554,Paolo,Rossi,user554@mail.com,B2B,AC0159
CT00560,Marco,Rossi,user560@mail.com,B2B,AC0078
CT00561,Giulia,Costa,user561@mail.com,B2B,AC0266
CT00563,Luca,Neri,user563@mail.com,B2B,AC0212
CT00564,Sara,Neri,user564@mail.com,B2B,AC0025
CT00565,Marco,Verdi,user565@mail.com,B2B,AC0090
CT00567,Sara,Bianchi,user567@mail.com,B2B,AC0104
CT00568,Luca,Verdi,user568@mail.com,B2B,AC0073
CT00569,Marco,Costa,user569@mail.com,B2B,AC0124
CT00570,Anna,Bianchi,user570@mail.com,B2B,AC0209
CT00571,Marco,Rossi,user571@mail.com,B2B,AC0202
CT00574,Anna,Rossi,user574@mail.com,B2B,AC0267
CT00575,Sara,Costa,user575@mail.com,B2B,AC0090
CT00580,Anna,Verdi,user580@mail.com,B2B,AC0144
CT00581,Giulia,Neri,user581@mail.com,B2B,AC0117
CT00583,Luca,Rossi,user583@mail.com,B2B,AC0071
CT00585,Marco,Neri,user585@mail.com,B2B,AC0114
CT00587,Marco,Rossi,user587@mail.com,B2B,AC0052
CT00589,Marco,Neri,user589@mail.com,B2B,AC0005
CT00591,Luca,Bianchi,user591@mail.com,B2B,AC0159
CT00592,Anna,Neri,user592@mail.com,B2B,AC0094
CT00593,Marco,Neri,user593@mail.com,B2B,AC0079
CT00594,Luca,Bianchi,user594@mail.com,B2B,AC0243
CT00595,Luca,Costa,user595@mail.com,B2B,AC0139
CT00597,Paolo,Rossi,user597@mail.com,B2B,AC0165
CT00601,Sara,Neri,user601@mail.com,B2B,AC0119
CT00604,Paolo,Neri,user604@mail.com,B2B,AC0270
CT00606,Giulia,Costa,user606@mail.com,B2B,AC0154
CT00608,Giulia,Rossi,user608@mail.com,B2B,AC0132
CT00611,Paolo,Bianchi,user611@mail.com,B2B,AC0204
CT00612,Luca,Costa,user612@mail.com,B2B,AC0290
CT00615,Anna,Neri,user615@mail.com,B2B,AC0185
CT00617,Giulia,Costa,user617@mail.com,B2B,AC0185
CT00619,Paolo,Neri,user619@mail.com,B2B,AC0283
CT00622,Anna,Verdi,user622@mail.com,B2B,AC0241
CT00623,Paolo,Costa,user623@mail.com,B2B,AC0073
CT00624,Giulia,Rossi,user624@mail.com,B2B,AC0213
CT00627,Giulia,Verdi,user627@mail.com,B2B,AC0259
CT00628,Anna,Neri,user628@mail.com,B2B,AC0147
CT00629,Giulia,Neri,user629@mail.com,B2B,AC0196
CT00631,Giulia,Neri,user631@mail.com,B2B,AC0252
CT00632,Paolo,Neri,user632@mail.com,B2B,AC0076
CT00633,Sara,Costa,user633@mail.com,B2B,AC0047
CT00634,Luca,Neri,user634@mail.com,B2B,AC0040
CT00639,Anna,Bianchi,user639@mail.com,B2B,AC0192
CT00642,Luca,Rossi,user642@mail.com,B2B,AC0151
CT00644,Sara,Bianchi,user644@mail.com,B2B,AC0097
CT00647,Luca,Bianchi,user647@mail.com,B2B,AC0079
CT00648,Marco,Costa,user648@mail.com,B2B,AC0224
CT00650,Marco,Neri,user650@mail.com,B2B,AC0193
CT00651,Paolo,Rossi,user651@mail.com,B2B,AC0300
CT00653,Anna,Bianchi,user653@mail.com,B2B,AC0104
CT00654,Anna,Costa,user654@mail.com,B2B,AC0272
CT00655,Marco,Rossi,user655@mail.com,B2B,AC0012
CT00656,Giulia,Costa,user656@mail.com,B2B,AC0131
CT00657,Anna,Neri,user657@mail.com,B2B,AC0250
CT00658,Marco,Rossi,user658@mail.com,B2B,AC0149
CT00659,Paolo,Rossi,user659@mail.com,B2B,AC0298
CT00660,Paolo,Rossi,user660@mail.com,B2B,AC0210
CT00661,Marco,Costa,user661@mail.com,B2B,AC0070
CT00662,Luca,Bianchi,user662@mail.com,B2B,AC0188
CT00663,Marco,Bianchi,user663@mail.com,B2B,AC0289
CT00664,Marco,Neri,user664@mail.com,B2B,AC0215
CT00668,Paolo,Neri,user668@mail.com,B2B,AC0073
CT00670,Anna,Bianchi,user670@mail.com,B2B,AC0136
CT00674,Marco,Costa,user674@mail.com,B2B,AC0092
CT00678,Giulia,Costa,user678@mail.com,B2B,AC0117
CT00679,Sara,Neri,user679@mail.com,B2B,AC0203
CT00680,Luca,Costa,user680@mail.com,B2B,AC0047
CT00683,Paolo,Neri,user683@mail.com,B2B,AC0027
CT00690,Paolo,Rossi,user690@mail.com,B2B,AC0084
CT00693,Luca,Verdi,user693@mail.com,B2B,AC0210
CT00695,Luca,Rossi,user695@mail.com,B2B,AC0042
CT00696,Anna,Verdi,user696@mail.com,B2B,AC0045
CT00697,Anna,Verdi,user697@mail.com,B2B,AC0002
CT00699,Paolo,Neri,user699@mail.com,B2B,AC0022
CT00700,Paolo,Bianchi,user700@mail.com,B2B,AC0070
CT00701,Giulia,Neri,user701@mail.com,B2B,AC0288
CT00702,Luca,Neri,user702@mail.com,B2B,AC0161
CT00703,Marco,Costa,user703@mail.com,B2B,AC0034
CT00705,Paolo,Costa,user705@mail.com,B2B,AC0008
CT00706,Paolo,Rossi,user706@mail.com,B2B,AC0136
CT00707,Luca,Neri,user707@mail.com,B2B,AC0073
CT00714,Giulia,Bianchi,user714@mail.com,B2B,AC0222
CT00715,Giulia,Neri,user715@mail.com,B2B,AC0069
CT00717,Luca,Neri,user717@mail.com,B2B,AC0173
CT00720,Luca,Neri,user720@mail.com,B2B,AC0181
CT00721,Paolo,Verdi,user721@mail.com,B2B,AC0259
CT00722,Luca,Neri,user722@mail.com,B2B,AC0005
CT00723,Sara,Neri,user723@mail.com,B2B,AC0023
CT00726,Luca,Neri,user726@mail.com,B2B,AC0020
CT00729,Sara,Rossi,user729@mail.com,B2B,AC0087
CT00734,Giulia,Costa,user734@mail.com,B2B,AC0194
CT00736,Sara,Bianchi,user736@mail.com,B2B,AC0124
CT00737,Sara,Neri,user737@mail.com,B2B,AC0279
CT00742,Anna,Neri,user742@mail.com,B2B,AC0060
CT00744,Anna,Verdi,user744@mail.com,B2B,AC0262
CT00746,Giulia,Costa,user746@mail.com,B2B,AC0113
CT00747,Paolo,Rossi,user747@mail.com,B2B,AC0203
CT00749,Giulia,Rossi,user749@mail.com,B2B,AC0063
CT00757,Luca,Bianchi,user757@mail.com,B2B,AC0275
CT00758,Marco,Costa,user758@mail.com,B2B,AC0020
CT00759,Giulia,Rossi,user759@mail.com,B2B,AC0298
CT00769,Marco,Neri,user769@mail.com,B2B,AC0245
CT00772,Giulia,Verdi,user772@mail.com,B2B,AC0300
CT00774,Luca,Verdi,user774@mail.com,B2B,AC0263
CT00777,Giulia,Verdi,user777@mail.com,B2B,AC0178
CT00780,Anna,Neri,user780@mail.com,B2B,AC0078
CT00788,Luca,Rossi,user788@mail.com,B2B,AC0292
CT00789,Giulia,Costa,user789@mail.com,B2B,AC0156
CT00790,Luca,Costa,user790@mail.com,B2B,AC0024
CT00791,Luca,Neri,user791@mail.com,B2B,AC0136
CT00792,Giulia,Rossi,user792@mail.com,B2B,AC0256
CT00795,Giulia,Costa,user795@mail.com,B2B,AC0050
CT00798,Paolo,Costa,user798@mail.com,B2B,AC0118
CT00809,Sara,Neri,user809@mail.com,B2B,AC0270
CT00811,Luca,Costa,user811@mail.com,B2B,AC0022
CT00812,Luca,Costa,user812@mail.com,B2B,AC0255
CT00814,Anna,Neri,user814@mail.com,B2B,AC0079
CT00815,Luca,Rossi,user815@mail.com,B2B,AC0052
CT00818,Anna,Bianchi,user818@mail.com,B2B,AC0289
CT00822,Luca,Rossi,user822@mail.com,B2B,AC0113
CT00826,Luca,Neri,user826@mail.com,B2B,AC0202
CT00827,Marco,Neri,user827@mail.com,B2B,AC0155
CT00828,Luca,Rossi,user828@mail.com,B2B,AC0118
CT00830,Sara,Rossi,user830@mail.com,B2B,AC0185
CT00831,Marco,Rossi,user831@mail.com,B2B,AC0014
CT00832,Anna,Rossi,user832@mail.com,B2B,AC0167
CT00834,Marco,Costa,user834@mail.com,B2B,AC0070
CT00837,Paolo,Costa,user837@mail.com,B2B,AC0075
CT00838,Giulia,Costa,user838@mail.com,B2B,AC0076
CT00839,Giulia,Costa,user839@mail.com,B2B,AC0042
CT00840,Sara,Rossi,user840@mail.com,B2B,AC0051
CT00841,Marco,Verdi,user841@mail.com,B2B,AC0185
CT00844,Paolo,Rossi,user844@mail.com,B2B,AC0015
CT00846,Sara,Costa,user846@mail.com,B2B,AC0136
CT00848,Luca,Bianchi,user848@mail.com,B2B,AC0260
CT00850,Marco,Costa,user850@mail.com,B2B,AC0011
CT00851,Luca,Bianchi,user851@mail.com,B2B,AC0130
CT00853,Paolo,Costa,user853@mail.com,B2B,AC0012
CT00854,Paolo,Bianchi,user854@mail.com,B2B,AC0065
CT00860,Sara,Verdi,user860@mail.com,B2B,AC0152
CT00861,Sara,Rossi,user861@mail.com,B2B,AC0079
CT00865,Paolo,Bianchi,user865@mail.com,B2B,AC0228
CT00866,Sara,Verdi,user866@mail.com,B2B,AC0208
CT00867,Anna,Verdi,user867@mail.com,B2B,AC0176
CT00869,Giulia,Costa,user869@mail.com,B2B,AC0266
CT00874,Paolo,Costa,user874@mail.com,B2B,AC0052
CT00875,Paolo,Costa,user875@mail.com,B2B,AC0040
CT00876,Sara,Costa,user876@mail.com,B2B,AC0072
CT00879,Giulia,Neri,user879@mail.com,B2B,AC0215
CT00880,Giulia,Rossi,user880@mail.com,B2B,AC0211
CT00889,Luca,Neri,user889@mail.com,B2B,AC0074
CT00890,Marco,Costa,user890@mail.com,B2B,AC0203
CT00891,Paolo,Costa,user891@mail.com,B2B,AC0203
CT00892,Anna,Bianchi,user892@mail.com,B2B,AC0044
CT00893,Giulia,Costa,user893@mail.com,B2B,AC0050
CT00894,Paolo,Neri,user894@mail.com,B2B,AC0275
CT00897,Luca,Costa,user897@mail.com,B2B,AC0077
CT00901,Giulia,Neri,user901@mail.com,B2B,AC0193
CT00903,Giulia,Verdi,user903@mail.com,B2B,AC0080
CT00905,Luca,Rossi,user905@mail.com,B2B,AC0199
CT00906,Anna,Costa,user906@mail.com,B2B,AC0062
CT00908,Giulia,Neri,user908@mail.com,B2B,AC0047
CT00909,Marco,Neri,user909@mail.com,B2B,AC0245
CT00916,Anna,Verdi,user916@mail.com,B2B,AC0228
CT00918,Marco,Bianchi,user918@mail.com,B2B,AC0198
CT00921,Luca,Neri,user921@mail.com,B2B,AC0148
CT00922,Luca,Costa,user922@mail.com,B2B,AC0116
CT00926,Anna,Verdi,user926@mail.com,B2B,AC0065
CT00927,Luca,Neri,user927@mail.com,B2B,AC0184
CT00928,Paolo,Rossi,user928@mail.com,B2B,AC0158
CT00929,Giulia,Verdi,user929@mail.com,B2B,AC0063
CT00930,Paolo,Rossi,user930@mail.com,B2B,AC0075
CT00936,Paolo,Neri,user936@mail.com,B2B,AC0298
CT00939,Giulia,Bianchi,user939@mail.com,B2B,AC0013
CT00942,Luca,Verdi,user942@mail.com,B2B,AC0168
CT00943,Anna,Costa,user943@mail.com,B2B,AC0097
CT00947,Paolo,Verdi,user947@mail.com,B2B,AC0293
CT00951,Luca,Rossi,user951@mail.com,B2B,AC0171
CT00952,Luca,Rossi,user952@mail.com,B2B,AC0044
CT00954,Paolo,Verdi,user954@mail.com,B2B,AC0196
CT00955,Giulia,Neri,user955@mail.com,B2B,AC0033
CT00957,Paolo,Verdi,user957@mail.com,B2B,AC0208
CT00959,Marco,Neri,user959@mail.com,B2B,AC0130
CT00960,Anna,Rossi,user960@mail.com,B2B,AC0271
CT00961,Anna,Neri,user961@mail.com,B2B,AC0026
CT00962,Luca,Verdi,user962@mail.com,B2B,AC0216
CT00964,Paolo,Rossi,user964@mail.com,B2B,AC0047
CT00966,Sara,Costa,user966@mail.com,B2B,AC0186
CT00967,Sara,Bianchi,user967@mail.com,B2B,AC0049
CT00968,Giulia,Verdi,user968@mail.com,B2B,AC0150
CT00970,Paolo,Neri,user970@mail.com,B2B,AC0289
CT00974,Giulia,Rossi,user974@mail.com,B2B,AC0034
CT00976,Giulia,Costa,user976@mail.com,B2B,AC0172
CT00977,Anna,Neri,user977@mail.com,B2B,AC0047
