TenderId,TransactionId,TenderType,PaymentTokenHash
TD00000066,TR00000066,Card,434a20f657e5e97c8ca3e2c92896e05e1f55957110a07eb92ed6e510621b2035
TD00000067,TR00000067,Card,34a9e09bcbcd657f0553cd66094935bedb489e1b56767344e738dee8511b2add
TD00000068,TR00000068,Card,84f35def8e6df322b5745006b828d8f38c16028913657c1f4ebffa0918b6140d
TD00000071,TR00000071,Card,dafeb3519f679e262256a21a02210f414d796575586fcd5117fba22361d01ce9
TD00000072,TR00000072,Card,f1ab82dc863d79fd79bc48132252b7e604daa722e5368a1e49da339b612f5d5d
TD00000074,TR00000074,Card,7bab1213239a077aa8783fa335af5f3932482820281897dfd223b384935a8d45
TD00000076,TR00000076,Card,fba67d0774456f4b48ab5c5d6476710bc8636759dd0eb5c3d104aaa01ce57b55
TD00000077,TR00000077,Card,4dae4aa567367d49eb4296d9a06496a060795ea589a0bbfc44d81534cb89fb71
TD00000078,TR00000078,Card,836256a06e0243f262208296e7fe9fb8b46942f92df5da3d002c6daada5c2570
TD00000083,TR00000083,Card,7bab1213239a077aa8783fa335af5f3932482820281897dfd223b384935a8d45
TD00000086,TR00000086,Card,768aa6042e2778a5307f6935562bbff15f5981a28789b9a723ae858885a27400
TD00000090,TR00000090,Card,ab4061cb7c999188f76d5d0c76bb01562597e63235a0ad2110d4755a9a9f0e71
TD00000091,TR00000091,Card,67568f7508aeb8ee3e3ca90986b993428305f7d344b54e78c5b39d040b2fc7c6
TD00000094,TR00000094,Card,7dba546c21b1b1c4bd515df31b50bdce677babf4340d784d29ef60e8652a78b0
TD00000095,TR00000095,Card,a2995f1f0a075fd57608f1fc3c44078fd536941f285a13a2cd88ca4da15ac76b
TD00000099,TR00000099,Card,9e28428527d7625c7f4b0df877c1308fa9bc076d99ede405edd2b79e207a8505
TD00000100,TR00000100,Card,b7e395343b7d0fb56cdd7da6969e3985d5a3ce8c7b0a602efe36f37a8cd16110
TD00000104,TR00000104,Card,4b4575e25e0b4b21dd2ace2a1328d809efc848bd2d9fe20d75d1188105615680
TD00000107,TR00000107,Card,336ff9fc7b06bc6c06f160240727d9fdeab8823090aaf9af8af4fa6d630e5088
TD00000108,TR00000108,Card,becd4b40e6bd64122964bd5e672160e5818c96a3e9f3c9b995048d7e903c5d74
TD00000110,TR00000110,Card,05278c41015e7a2805769750c328bdc931c62433c94798f0bed28d1113be7831
TD00000111,TR00000111,Card,07cb21935d919e1f5b2dcba8fcafb366a1bf42c9120a06f40f23e0de1b540bf1
TD00000112,TR00000112,Card,9f5f0e5ac966d047c7f804143ee7c0eddfc08c06a7e3da96fd1e8c31f180f303
TD00000113,TR00000113,Card,c1c51dbf9a54449c138fbae7293e6f06376cd61727d8e6e8a8a44dbbdb8cb952
TD00000114,TR00000114,Card,89a1c0e1a51934486a3644c7fad1daa70b435eb4dd64a16f878c4cfdcdaeb97e
TD00000118,TR00000118,Card,3447ec105dd8c2ddf37e920a73cc93fdefe6336b417ace542672a8a6a16e29dc
TD00000119,TR00000119,Card,d571576837af9ebafd1e00f9a0d497cf9825d08e9288b01a2e6b5c8585ae74fd
TD00000120,TR00000120,Card,70dbfcadc3de2de5008c5d131c933911f858f9321b29e846b45f4278ea9de84c
TD00000123,TR00000123,Card,2da70126c832a43f4ac5bac8f799cc33dcbb7719b6ffd5fb12163f419164f4e2
TD00000126,TR00000126,Card,05d25411611e883904f8f86bf60b4286fcf01e9dda2e3f4ffb349b95a9dcb1a6
TD00000127,TR00000127,Card,52e1657d8bf755d1be67c59aaae44584ba9c64db03886faf113ed5cb294a8583
TD00000128,TR00000128,Card,99faa32442fb537e948966b0e1643f32cb23b47bebe3494a2cc33a5ed203bf53
TD00000129,TR00000129,Card,10464c64754aa0ca9753b858cb571a9895f2558010f9eb83aebc888c1d74eea3
TD00000131,TR00000131,Card,a26bd772a62c3d13b70d58e09f451cd51acc1d5d9ca89134bff4ffc43f22c0f6
TD00000135,TR00000135,Card,6b3400ebfe8aca5c0c84c01e8ef5ef4e98fcf56a5f733b9523c1e560a78009a7
TD00000136,TR00000136,Card,bd61cbf7f5f03d89e55dc11c27f0971e6557d4aa18223bcd73eb33d56c568ab5
TD00000137,TR00000137,Card,a77f2accd2d272963c6d952e7b77271eee9a01cec87dcd15b51f7bc5d15a3fb9
TD00000138,TR00000138,Card,5a749df2a7eead11397885777c539f5bf40ff0aa3ebe55f666ee26e149585d2a
TD00000139,TR00000139,Card,3cc0171d16bd3e893d6dcadd11169e28392ac1a8e86f979db2d752ed81f4f412
TD00000141,TR00000141,Card,cf32ebba606f3e862d5e26fa6f066383253da3e758e6a30a901c2c61e63954fd
TD00000142,TR00000142,Card,ff677c9cb3a0937f81220a5dad44d091fde698316dff0a24ef8258956efaab4a
TD00000143,TR00000143,Card,ee746485415a5074baf384c9249b8ebfe6da76941b63c789152fe882f5ca4a4c
TD00000144,TR00000144,Card,a9af06aa5e5f467d0350a147c661e35b10d9c8f7509262418ba33ed9af1a3517
TD00000145,TR00000145,Card,0cd0bc6835269b58d53cc8b74c2f805b08bf874469c3b5d816b501a4a872f1ac
TD00000146,TR00000146,Card,e1e0012c49ff28c8f0bea1d6b9755c69b4d04fdf24e453a83a0300a5c76ffc3f
TD00000147,TR00000147,Card,b9870646f52f29225415f9e11c43225397c82bd6fd239d36b048f3a1e3968d43
TD00000148,TR00000148,Card,ca2bf46dbe4c1f1511a502452220937e2fd5281530472ec85b7e309fe2ebeb22
TD00000149,TR00000149,Card,5faeda08e1460f266967d522fbc69b935a33f337cc63c7ae37cfeba95ae73ad8
TD00000151,TR00000151,Card,42f9950d2ce9aecb2b923cff35772161022fa764483deaf848f5065d9d5bdd2d
TD00000152,TR00000152,Card,07d80c3f0f69af0ff61f35a346dfb488381b171087ec1541838a9dc96dbaea1d
TD00000154,TR00000154,Card,d82b1b438b7f1616c173cefdefbdb719602f361410a0bcdcd1cc6ebac502f164
TD00000155,TR00000155,Card,d2708f222901728aafdae0a7c464ac9f1f9132c95bd3b33d11b0fb1cf9aa90a0
TD00000157,TR00000157,Card,fea4c8a9b30025c3945427946001aa5868f63ab05a6a285a4f7f261f34e79b04
TD00000158,TR00000158,Card,532e7021423de47281cdd990f2c60c373932cb236614e2f28296ab8be989f87d
TD00000160,TR00000160,Card,cf12792616b2338c20abf99239a31c77016a73899c718880c7ceb969143c0675
TD00000163,TR00000163,Card,30822581a18ea571b268610fdd70a5a7ebc7dd58e6958eeca88b46c22b2e4314
TD00000166,TR00000166,Card,775ff905b56a6cf2a9d0a1c7ff21d5f8ebbbb04f5e6ce8a9dc45aeb1cd1fdca0
TD00000167,TR00000167,Card,f3be85333e9183b1334c0219bea11842bb2f49c70e3505179ba7ab876b11026f
TD00000168,TR00000168,Card,73801a80dbcc1b9a151c9db85604bd07fc1b605e0e6edee36939bd8b1a246b9f
TD00000170,TR00000170,Card,c43354090f60c90d68078ad9dedc595c86c008ceef9eb2624a6a7a72563272f7
TD00000171,TR00000171,Card,fc09b57b6640e0871a2aacc35d875c4de628427f1c4b455041374850cbd34d76
TD00000173,TR00000173,Card,32062e2ce3f9a52a1b416081f278eccf2f13f77f5ddcd4367d35f43e00a5caac
TD00000177,TR00000177,Card,2d47a25a2c35b07bcc3b38f2d6a50a49196a802c904360b6132cc11056096594
TD00000179,TR00000179,Card,8e87f192ecf1a0df6737057c3414aff643226853d07a7d3ba9ed23244ef7621d
TD00000180,TR00000180,Card,906f8aec9ad0f6dc96c11a34761e2e5d8f37667b43c1a4bd4ba182d6af3666ef
TD00000181,TR00000181,Card,69cacc6faa5dd5893607fedcc6adf1ebfdac77edae7e99084dd5756a9753d0a6
TD00000186,TR00000186,Card,5084bafe9909c934745d42d0dd67225ef20efa303c14c681baaaed807d4ae55c
TD00000188,TR00000188,Card,994204ae9bc09f1458ae93b16bfb69b9f9f750cdf9b330ab080d577982de837f
TD00000189,TR00000189,Card,73d37a00b0784ffa9fb4cae4978f32472f82f6d04913e14d25989c2d7d33d53b
TD00000190,TR00000190,Card,0b62c8b47eed81832b6936709ce0ff5d511ba75d5e1a8d4463b2f73bf2aa3bfb
TD00000191,TR00000191,Card,02aad7775d802c082dc3a804c325e0eb32ee1e62e2b8b3c3a04fe44d5c367510
TD00000193,TR00000193,Card,454d3f7b0c43c0d6a68d80fca446c2367743ef254d122e1e37311926111a5bb5
TD00000194,TR00000194,Card,bf48e93ae34f8036ea10e740d1d9e24bf5c2d2536e9d97986f65ac03ddd4bffb
TD00000195,TR00000195,Card,fe5f725da1f430397967625874e752eb6294bc4867df76e60baffc9ec776755b
TD00000196,TR00000196,Card,9cd9d5f6ffa014d81145b8486e1388d96ca6bfc9c3b2b8d21742e336efe1a387
TD00000197,TR00000197,Card,bb332b5e51140a32a212a8378b6d41697088ed83a5e8eeca62499a7edb9915b4
TD00000198,TR00000198,Card,38d3e896717d843248dd438dff32c8e041cf1de5f1e3c6f0b6b6fed6e0da7d2c
TD00000199,TR00000199,Card,1f2a5406ba9808452ddf226353449dd088fdb581c2a088aff923e227619e832c
TD00000200,TR00000200,Card,c48f1284b59db1bc7c645baa207a009ad0ffe807a5ff8354a26b6f66872c42c8
TD00000201,TR00000201,Card,fa0ec88538f5b8794f29dd0a4bec01a6a3cca820428e798be2c7d7189efdd521
TD00000202,TR00000202,Card,87d73ab058ac55b7b0a7b732bfb2ba8e817a5d4378b88ec4fdac985aaf10c576
TD00000203,TR00000203,Card,d7fc7f6e2f39984a2b7beb638750014f7657b5fe376c2733cb13eb2bab6d4ee0
TD00000205,TR00000205,Card,4af5b96b5c220d802e7cd4e003d2f3c6a46bb7481d98aeb32738d495862c9c07
TD00000207,TR00000207,Card,3f1f8ec2530fee84126866c13570f90edfa7878d517a52c67b57882a166851c6
TD00000208,TR00000208,Card,29bc88fc5d00dfe21dd1fdf5d2bd016907657f576fb9c3ae9762317f6a9e06ff
TD00000209,TR00000209,Card,783186f22bfbd3bd060244843de16d2b49e7f4b32a29a1bde915c1d6709953b4
TD00000210,TR00000210,Card,c95631d7b50ba8f6993f4071deb126c92befd914338392bc396b7eb38fdf4702
TD00000211,TR00000211,Card,2d7bc2b16ef432b9909aa16053af41626845951513ca6c8ff6ad624b807a7276
TD00000212,TR00000212,Card,5cd8ba7eefc3017f740bf00009d7774d7cafae1a1c8369228f6d5950aad1407a
TD00000213,TR00000213,Card,7c010aad74e1f76842fee5535342818f8617b05320f9dda9ba378130a5a96f5b
TD00000214,TR00000214,Card,a8bc1b7a39a01e96856db412ca92bcdf6d1b45f6d816031505e8cd5b39794591
TD00000215,TR00000215,Card,aa038a71ac105f86f047e30d9f34653dacce6a6f80cc62ac2f9f15ffcaa973d6
TD00000216,TR00000216,Card,39892e8db42055046e94621c750128c6a2d8944a53ae6e0071ed086ae4a57d99
TD00000218,TR00000218,Card,7ea0bbb219e5d1f3c245c14d29f6423a00a86aef962cf5c4c946f9134e0a565a
TD00000219,TR00000219,Card,b826505e927adc5214a57dc5ba06fae8b8bc13b3eb888b02a6536774a0126793
TD00000220,TR00000220,Card,13906e0c636580a78b45aaeb24605ce8e720bf6e7853dbde8e0dd7c66462d47a
TD00000222,TR00000222,Card,3845c0c32cdbf606ccb375b0aa8372ecf3f4135c65c36ece0e065392d91607e5
TD00000223,TR00000223,Card,5c1822d3893b2379083a3b6a19c90dc76ba3139228cc68624556d5326acf4f92
TD00000225,TR00000225,Card,ec10ca5c7b7e43c80056d96d9c8c124ec8483c6025fa25674cf6c9acfb50e793
TD00000229,TR00000229,Card,d3e36adece42b329e195e95b9b7f8ee5c5a1cf048e26e54c170392654c66d3bd
TD00000231,TR00000231,Card,21f8adcdc10f52da71bfbdd491e031faf98ad35326e1ed9f902f0e1a20e815ad
TD00000233,TR00000233,Card,513db57a966797e19e014a11bb0396609ee3d1543f65b12ae70879a3d21e4184
TD00000235,TR00000235,Card,f8b6bf6af784cb2d97175a21d3a060898f2a46d8995af590da81501cc398c941
TD00000236,TR00000236,Card,b5698efe9a0a5d927217316ad2424e85383d75ef26467d37e2c7f80604bafc5c
TD00000237,TR00000237,Card,a2176819a3101a3f2fbcaab01a41a00b72ecd724ce093121d4ce9ef0aa2caf70
TD00000238,TR00000238,Card,960cb26674e165267ffb4342c040cd7e832e8f55fa3eedd4fd4439151eacabd3
TD00000240,TR00000240,Card,56b141f52a25c9c2e192fd5dd45ef9d60b9adc6c0ad9d765b0f650dbcc2442d4
TD00000241,TR00000241,Card,a8150dbcb43473368c6ba545d829c08f1b170d88a3e37820b1b4a1811596310c
TD00000243,TR00000243,Card,546c625a6ee9d11959a7b6d4fdcd102ac4d761702fa4bedbf53c4e30d97572a8
TD00000246,TR00000246,Card,478753601bee1ea50afdac10bab85f8d7faff7e470773d011e3311c2bc98baaf
TD00000248,TR00000248,Card,b3a85e0e3833e2fef73372ad54b7d5f098e275d8e0bda431a2f6d06226ee4a26
TD00000249,TR00000249,Card,ed0d24c1a5b64902574dd414f5a8a78cd6c1588a38e64c2c6f57bc1165c8c25a
TD00000251,TR00000251,Card,0aafefaf8fb6ad0f6c9441d74609a6ea4716832d8e93f4884119638f75dcc132
TD00000252,TR00000252,Card,c174f48d7ad07600cbd854d4531cf9c68327ac9ac521f9b314d7b7b418e19b04
TD00000253,TR00000253,Card,b42e1f5849d38e85ae093cda77aee2adb26e6594c5c961c48e9b8bc77e0b3307
TD00000256,TR00000256,Card,a924cdd5dd9dc0429c73f2fe20e8df7cc2ac865d3693e8f17135c8e703017206
TD00000257,TR00000257,Card,62dc8598bb6008772aaaf3ca26acd16015ff6de62756804247243978e5808797
TD00000260,TR00000260,Card,2644bf1b43f2277279cc1cd62883e2c0b3ef3af99f1a76e1e3bafdacf7eeb0db
TD00000261,TR00000261,Card,ab357105d3885aed1b56b744b603497f07e566a619f499fbc805a8111ec87364
TD00000262,TR00000262,Card,83e88224cb65853b54f50c11b5c0a014411cced1f39c6eaf2f5b4ebb90ba03c3
TD00000263,TR00000263,Card,577acc2022df5ff392090a89526194cf186e91a75f254bf233264cdb300e5738
TD00000264,TR00000264,Card,9499873f9429a1b514660f84c8d5b53585397edf7ac68c0f25b3897959fd5d9c
TD00000265,TR00000265,Card,cf616e90cfa9399540a3b33129a7e804a1c4be30d361bd04132e0eab5cdd5a57
TD00000266,TR00000266,Card,6e0df11026984fa0bfd312e1579111bb5065b456253cf2de0eff3beee1a30359
TD00000268,TR00000268,Card,8006eaa840bc255ad234dd17378fa3270bbe660b9334421ff408472264202d23
TD00000271,TR00000271,Card,6d1db4638dfd697f0393b001fd49eb8b84d6155838a4edf31ee04b298e79b4c3
TD00000272,TR00000272,Card,07b30f3443fb21cd669a1e4cf69abad29678a0c8701773b42ae34eae6f8b7327
TD00000273,TR00000273,Card,91edbc5f48ce1f4d4b602a5c6b5eaf5f0e78ba394b19b6e9a72426ea21e9f469
TD00000277,TR00000277,Card,e30eb047082c440c869fe6a9e478863f697be42541ace5d7201de23d3c8a9030
TD00000278,TR00000278,Card,64aa480f89ee99bf6a6ab270aca7aba41b73aeea6ebf37bf02e7c543307ff48d
TD00000279,TR00000279,Card,71db786f85176b76b01efd6a415ae80cccc0f3c4de4fffd1e352b081d064437d
TD00000280,TR00000280,Card,517a1e4bf0bc17e197a98e36a16b3981aebb905d8abfdaab01a1a58c7352ea45
TD00000281,TR00000281,Card,399d69839d1e8d1f14afbcfbda659efebd831c07914daccdc73a1c6971ed96ff
TD00000282,TR00000282,Card,90cff133f76fef9d92963128185253e8a5e830e2811e5e656afe8b75894a9a2f
TD00000283,TR00000283,Card,b1020d238f59a4203b21e174a5760b3651baf5ff2fbc7f6a93b82de34f93ff8f
TD00000286,TR00000286,Card,2fdea095bc183beec62dd0a17fd35e2916b42e3b88fb46d736b9ce059b804e6d
TD00000287,TR00000287,Card,1c0aabf8f268315e1a938f34a94cde749258ec1e69f11f55767239e155cd64d6
TD00000288,TR00000288,Card,1b29425210a2f0d7947494a9a587bf58ec0a8a25678b64244c8ca51129c1ad41
TD00000289,TR00000289,Card,1d0a495af3b623b2f32f5e9c29ca6d22e870d03178dc76dc43c5face484bcc65
TD00000290,TR00000290,Card,f94cec30f5f2c9a7fa533cdace7c3a4be0e423178c7632d7d653f002b1da3a44
TD00000293,TR00000293,Card,2e536a25e3518d6afd0b9ade5ab469da70448565642daf51b41cbbb15c00beeb
TD00000294,TR00000294,Card,67eddfd2aaab6c6d096d2fdb1cafd168d87d4754613c94d26839e79dd253e4fb
TD00000295,TR00000295,Card,4caefcb7a46882696ef79ba4336d193529051102859d7b35763fa6fcde9647cb
TD00000296,TR00000296,Card,b0477943b25aac67bccdedbb45a29fe052aacef06737cf20c8e962dbb021cffe
TD00000297,TR00000297,Card,32a99f593496551c248b90c26b26d1c0d2ff286a8085d0c06d0ba64d70055402
TD00000303,TR00000303,Card,1d9b2adda2af8f4b6ffd47819d89abbbde910d80b7c9198fe0ac6842bad5bff3
TD00000304,TR00000304,Card,13595e0e4560dac86a65a9ebd45638f5b4a51efa01e3c394b74c89e4c4fa17da
TD00000305,TR00000305,Card,89f6801489e26a74dbb02338f4610019afa54803e4f8a65dbda674fc921b017e
TD00000306,TR00000306,Card,309ab9710315d0c042e97d01df1bbc4284d1ac9d92dd0213976bc701ae8d2aff
TD00000307,TR00000307,Card,8a4e0139b9c12fbe9f4206f0ee4ff383fad3ebd5c216e98637f13907c0f5d5de
TD00000308,TR00000308,Card,36f01bf22159f4ca0f55de15fd9b0c8758909600d61cc6f8cef5e0fe2e99610f
TD00000310,TR00000310,Card,dd1fe7117dc89854b150c6e4b6397e247eba0558f54b5acae4b7e07d80d88029
TD00000311,TR00000311,Card,64eed570a0f3ecb29fdf9748a4f030b104ce25493665f72c88025e3d85edde8d
TD00000313,TR00000313,Card,ca135bb5da8695d780be81b774a1541d9da0d16a6aa4a120e1558f2a890b18ce
TD00000315,TR00000315,Card,400741e6e9a386157b7deb208ebe2a07a3a993fb88ec0dfe5898f554566f82d3
TD00000317,TR00000317,Card,e80cde0de12648bdb75ff486841c46f1d91b516fb291dab5afafa56146c612e2
TD00000320,TR00000320,Card,313133d97db46ec2a436d4082ae47f576d3a92c9285566d6342d0dfd2a76b1ff
TD00000321,TR00000321,Card,c4b4803a6a3955950e0c5cd5d826084fed790c19482704a813fc05f10a53b85a
TD00000322,TR00000322,Card,e3883218f22bb62b12cc6b5f5d2ae1f100d9ed4d960c20d8e7a9273ccbb6a29f
TD00000323,TR00000323,Card,cd29ff176700b384d84e9ad749f3dc989e4421b223f592b92902d32660a042d3
TD00000324,TR00000324,Card,e9027b767495fcacf7a152b7af4a51bba59e8f82e775a7eda232d0e14e89a8da
TD00000325,TR00000325,Card,13595e0e4560dac86a65a9ebd45638f5b4a51efa01e3c394b74c89e4c4fa17da
TD00000327,TR00000327,Card,3c912d1450295ee199d6ef7fc20ead517844435dac59d26c267f735aed679298
TD00000328,TR00000328,Card,d0f2c0fe6988d6675a3d9011be71f1f78b966546b97077e820b6b655928d5429
TD00000329,TR00000329,Card,b448bc5a925733bbf7cdd064a58db7ab3bf544d8b67bca689ffdd5475ef14e72
TD00000330,TR00000330,Card,57cc2fcb9280f77fae59778985bb4c993dce073e2df8dffde68088235173f1c8
TD00000331,TR00000331,Card,bc9d777b413f05215de125a5d769e63eab167f767a32d661967ccb872c3fbc73
TD00000333,TR00000333,Card,b0745248d3852a49abfcf31d0880814f2da747e6024b7cd1ff00ad2bf5d5da1e
TD00000334,TR00000334,Card,0349de4d6d194192b6f725fd2478ee3d9f3228e78a55f1ff0dacc686eeef508b
TD00000337,TR00000337,Card,b0d77c03e4ee9647ed952062b7492f50d737dc23b7724992d240027dde9bf84b
TD00000338,TR00000338,Card,0638c0570f808db08ddcdf5455a6cf43caf2b4dcd634838c67f30a8a08e869f6
TD00000339,TR00000339,Card,b7d2a1ce1ba2de3a5d64ecbed6fb138ff6a2a817431207a7971b17e94ff49805
TD00000341,TR00000341,Card,b2d05b6b8f588171c0237c60590f90120b7524290a9ddd90fc5af02f5b4cf37d
TD00000342,TR00000342,Card,f9609b3280522562bd73dd1b13b55f4690cb3049d0871096790c54dc3e76a0ae
TD00000343,TR00000343,Card,25c763b3a5b0b020c61c0aff883b3463cd8f6be0c89f3d779e7e0557beea55a4
TD00000344,TR00000344,Card,19b2bd624ddcd920976b3f570bb2361b8d7010990b3a03aa6eec60ec5afd8c90
TD00000346,TR00000346,Card,09fe787001ec25d59cd0ac51172d7f15ab2679af6dc3216af92d0ab0f6239fcd
TD00000349,TR00000349,Card,c4c746a7af3b54a1de381e2fded23f1b3c98334cda2c80fcb415d2f8d9639ca7
TD00000350,TR00000350,Card,37245c152354fd80d33af40bc2f91872561a81fa1c63bc83bf2aa9af59bbbd06
TD00000351,TR00000351,Card,828d9a5a4e63ed059ecb89149cf50e7fc95f0c44a8ec406116f1536d684959bf
TD00000352,TR00000352,Card,5a80f7bc0bc537177644a4630c222301b908f4bcf2a90a1c8f94715d83c1e1d9
TD00000353,TR00000353,Card,8aa049830b48d44efd02edcfa03e7d71aef17876fddbe68d361e3ed5f7b79b2f
TD00000357,TR00000357,Card,f94cec30f5f2c9a7fa533cdace7c3a4be0e423178c7632d7d653f002b1da3a44
TD00000358,TR00000358,Card,998f038a99ec70613da2df818d0028312d84e7ab3ab3d7d87d005e9813e1ad26
TD00000359,TR00000359,Card,0c0de75efbcb40af4bd08207ed7d26109360f1d4f7fbfe965fbba8203962bd10
TD00000360,TR00000360,Card,b9245ea7d02f5d2b1f5396ecac112f6a32eefa615de7c69363bbfec5b14e619f
TD00000361,TR00000361,Card,1c0e1757f6f194a4c1cff7674970a87dcd4938f6e37c930c0dd80073a3005108
TD00000362,TR00000362,Card,e23897e7375ac94fde4be8ec5b1d6bf727ff8aef849e1afd123bfe403fea10dd
TD00000364,TR00000364,Card,f349888f85d08f3b4ed85ac3a21310aaafd0883403104199bc7830c47d36fc5b
TD00000365,TR00000365,Card,bcd71094f541a3e70ec6c64f76fa8a3bab2ce77965e4fecc37a1694dba1be9a6
TD00000366,TR00000366,Card,16f06f4d805041c3912dc63c1ea588aeaf3b629c8b2323680f57597f7c0f38d3
TD00000367,TR00000367,Card,06927a5ffb4434c7f99e79d8685d9b570a2da3dd751fdc46a99fa856eb2a6909
TD00000368,TR00000368,Card,53f11cec1c56b5d581208da1b3b7805b3ae876c2a470b8b48ba7b296b6af53c0
