AnonymousShopperId,PaymentTokenHash,DeviceId,FirstSeenDate,LastSeenDate,PreferredStoreId
AN000019,bebd8ce3948abb9f760fa7fbe66f2df93bfd98d2f42828f9d8c82fe60208fd92,DVMELNMB26F0Z1,2025-07-15 00:00:00,2025-11-22 00:00:00,ST038
AN000020,70c7b5f7d5741783166aaa2985fa9191c55e74cf04d3f54b2390ed215d02095c,DVV0C2CKAGX055,2025-07-01 00:00:00,2026-01-12 00:00:00,ST035
AN000021,7ea0bbb219e5d1f3c245c14d29f6423a00a86aef962cf5c4c946f9134e0a565a,DV6U4ZUB6WHRN8,2024-07-15 00:00:00,2026-01-01 00:00:00,ST020
AN000022,d880d3facbb0b9bafd5857ec942cb37d2a3011359259294230397dc51012baf2,DVYFRRX3F9HONE,2024-01-14 00:00:00,2025-01-13 00:00:00,ST006
AN000023,22f7cf1e3ff24d195b378b40ab903dcf1b0ba1ceac2ed3fd7fe55f0d13baf08e,DVRFK25L3EL2ZG,2025-04-06 00:00:00,2025-12-07 00:00:00,ST037
AN000024,69b9a1d25492657b78bd2684884e7fc830f14e4a81f4a8854888c676c5f4dfba,DVWLRZFWBLS74T,2024-01-30 00:00:00,2025-09-24 00:00:00,ST014
AN000025,edf75a45b2fcc14ffddcc6db6e9b65cb8c0149e424757feeaa73eb08e0fa9981,DVZV2ZORSIQA14,2024-02-29 00:00:00,2025-06-24 00:00:00,ST011
AN000026,ff56c4f4df4449fbab21cf90ed9c3706898e561d861d585acc4ba635de8a6d2d,DVQG6SKPXKQ0XT,2025-03-18 00:00:00,2025-10-22 00:00:00,ST022
AN000027,c11660a20c4d89f42dafde9bf98daa7ea49e87ca4d90fbfcc69b1eb62a7156ac,DVDJPYJ4IZNCDB,2025-12-01 00:00:00,2025-06-23 00:00:00,ST021
AN000028,ed769cd9eb636b98efc995db9f00bda4714ed03b628f85eb1de6329ed5e3b390,DVNNXFZYM73ZQU,2024-08-26 00:00:00,2025-10-29 00:00:00,ST003
AN000029,865cc1750160ad30f2f5f2dbe2848f1996b744a77c73ad7837bdecb7a099b05f,DV467YA4A5OQN1,2024-01-07 00:00:00,2025-09-11 00:00:00,ST007
AN000030,7e98d1c98a94616470ab5f2b827f4b0cf8c89364900d1769047e8b6c8e52f74d,DVBVCZX0L46YJ5,2024-10-07 00:00:00,2025-05-20 00:00:00,ST032
AN000031,1b29425210a2f0d7947494a9a587bf58ec0a8a25678b64244c8ca51129c1ad41,DVGT4RCNHYNZ8M,2025-02-05 00:00:00,2026-01-05 00:00:00,ST004
AN000032,8bc81d62f48801fdddd9db06d062bcde4ea774fa0cba3c2c5483a84b7e82573c,DVOCSPF0IJLTS0,2025-12-21 00:00:00,2025-12-27 00:00:00,ST027
AN000033,e7f155a8f0c0c0f883e2bfa5ddad72d6299ce6a7268e567011a3ad4c633f6ae5,DV9UZKKI7QQG5A,2024-06-04 00:00:00,2025-07-17 00:00:00,ST002
AN000034,2a5e83067c77561891ab5cea2be68fe69e0b30d8e5dccbfdfe61047d4e796044,DVWPA23W2WCJBY,2024-02-24 00:00:00,2025-04-17 00:00:00,ST003
AN000035,af49b3378c35f47ef881fa29c3ec196809d188d6a75ad5b28547cafd3931f4cf,DVYYO6Q1I9V9RM,2025-01-09 00:00:00,2025-09-27 00:00:00,ST003
AN000036,08b062d168fbea2d3aeb89676187c471944ceb319430177f7c4e51e75826a13e,DVHADF98GP226E,2024-10-01 00:00:00,2025-06-14 00:00:00,ST025
AN000037,320b5679087cb2d1bf956dcc7164c1673179310e2394686e87010fc894b9d5e3,DVVY2LQ3N5JHRD,2024-01-08 00:00:00,2025-06-30 00:00:00,ST015
AN000038,43f7fec393ba45ba50c22f4f0ececca41ef84c35f0db73a5e0d65a6a033bfe57,DVBSCVWXTF8TAY,2024-05-26 00:00:00,2025-11-07 00:00:00,ST004
AN000039,d996036a4e9d72213f10002ce66adae5a92a41fcf4c0d9e43d0a8779b0d6d26d,DV6RU0CX8UTZWJ,2025-09-23 00:00:00,2025-05-22 00:00:00,ST017
AN000040,39c955b46fd3b70ded889aaaf1b85563c6548015f06c5e65a0c0822295f505c6,DVYLS2FMNXQAJ9,2024-07-26 00:00:00,2025-07-12 00:00:00,ST038
AN000041,d4ea09c8d605bee886f7be47bd5f61bc00b991f74680928f2c236c3b3a16b6e9,DVE7USVJ9V3F04,2025-05-26 00:00:00,2025-07-29 00:00:00,ST022
AN000042,b77551e4f73779e468c607eac7509275e4dccb94dd636a7a2b185236a751f198,DVCSUZAASUSXCH,2024-10-13 00:00:00,2025-06-12 00:00:00,ST024
AN000043,2cf1d1b32b4524f89398a9c092ac3c17416090171577e3ab61195a21f66444ff,DVZ4KD980AOKW8,2025-01-20 00:00:00,2025-05-29 00:00:00,ST006
AN000044,d2ea1f70c955ddd9a3c69b2385c095ef39c6c8dcf7825f982690e16bf016e3f1,DVLMU1FY6MGWFF,2024-06-20 00:00:00,2025-12-17 00:00:00,ST025
AN000045,e30ec7e57dd4aa3596f6d3704ac17e0514eab56ce68b3f4621a2d44f12b72c5b,DVASHVVON9ULOX,2024-02-09 00:00:00,2025-03-20 00:00:00,ST021
AN000046,6809a64043ffbabf7a0833956fea33cef3d7abab52dbdc77fe8bf05945f86586,DVMN9PIHIVAJ4D,2025-02-23 00:00:00,2025-12-31 00:00:00,ST025
AN000047,5e01bf31ac35cc0b3752090b88fab8a5cd83438a23fb2b99500815f90566d538,DV25P4I8V8Y515,2025-03-21 00:00:00,2025-08-20 00:00:00,ST011
AN000048,f0b6468103f04e7d5748703bbf4527aee5ae6b7a8a932281a5ed46e46c3e6b8f,DVHUO2H8CYR4C2,2025-06-05 00:00:00,2025-03-07 00:00:00,ST035
AN000049,8d0717ec205ce0ce2d1e16fbf496a9a35ec58a755a2ec319daa2c7d53db26efc,DVB48C9FQBCKX5,2025-02-22 00:00:00,2025-11-29 00:00:00,ST037
AN000050,51773d03be8940f606ba603a9b173e5c9c8dde2f593ad12d9dadd63ff94304c6,DV607209Z2A77O,2025-01-04 00:00:00,2025-11-07 00:00:00,ST006
AN000051,e99fe82db3c847d0bc2aaa0eff9b1d9a84c35dec63c7be3a6378640799f457f5,DVJP202NRIU090,2025-10-12 00:00:00,2025-07-18 00:00:00,ST001
AN000052,67568f7508aeb8ee3e3ca90986b993428305f7d344b54e78c5b39d040b2fc7c6,DV8C6OKS6X0YM2,2025-07-27 00:00:00,2025-08-06 00:00:00,ST038
AN000053,49b856fcefddba25c5bcd2b57322b53131c5498b977b0d95cff89f89e8b7f1b4,DVNT61Z1702LJU,2025-03-21 00:00:00,2025-11-09 00:00:00,ST002
AN000054,8d3c041b3ef322d5c0339fc856a9a2f4061056d3cd5c39a3f5d17a25dd91302d,DVSSHJVIX190R1,2025-05-28 00:00:00,2025-12-27 00:00:00,ST024
AN000055,89f6801489e26a74dbb02338f4610019afa54803e4f8a65dbda674fc921b017e,DVPVFI8B2GL1G1,2025-09-28 00:00:00,2025-06-19 00:00:00,ST007
AN000056,2a51f134e30959b36d5aa585eadabbd48dca016399d2f95180c574cd13c2deea,DVAC5RLQXETDME,2025-10-05 00:00:00,2025-06-08 00:00:00,ST005
AN000057,1c0e1757f6f194a4c1cff7674970a87dcd4938f6e37c930c0dd80073a3005108,DV11RBRA2GCB91,2024-08-24 00:00:00,2025-08-03 00:00:00,ST039
AN000058,1e63751ea70523553ef17ac103d4c385a9f7f921db4d92c5e91463b3ec7662d0,DV16ZMDIE5YSPS,2024-01-07 00:00:00,2025-04-07 00:00:00,ST023
AN000059,bd9955997747904da9d381c04ea0a5ae32d69a95551e84576bfa3c7733767feb,DVN4CCMKS71ZRR,2024-07-28 00:00:00,2025-10-05 00:00:00,ST034
AN000060,c2268a0ef616013b053300d8cf64b88705ead82d654a0a4c54947c50d70dd900,DVRQTWM20ULXWO,2024-03-16 00:00:00,2025-06-14 00:00:00,ST015
AN000061,0786126f2db7a2e57eee360144d2812844bfd9e49736f54f166d3f481047eee3,DVR7T61AL5N4UB,2024-07-11 00:00:00,2025-03-13 00:00:00,ST015
AN000062,273adc450a6eb21891f8424eeef94ce637adb8c31cb99f7a192dac9130eeadee,DV21PZPRU7Y6BE,2025-09-07 00:00:00,2025-03-30 00:00:00,ST014
AN000063,2adaa6fc6356203964c7359b0f3f75965164d52ec7310e27407a81dc95055a17,DVDZUYIAT9VIYB,2024-05-09 00:00:00,2025-04-12 00:00:00,ST008
AN000064,982ced85ae52d1db9efd33c0590257fa87243d638b05dad4a91dd03a9d31ece0,DVS8ZTRLV2B2GU,2024-07-08 00:00:00,2025-03-19 00:00:00,ST037
AN000065,51eeae5d14eea7d8fc49aadf6f1e1df74b7e416d49ab3bfb57deee4ce6ad8907,DVGJKL4WA3F2I8,2024-06-14 00:00:00,2025-10-31 00:00:00,ST023
AN000066,2ad6b177cf93c9e1249aff47a1eb7f2c3c9b30528f5e9c7c75dcecaeefc44ad5,DVRNHUQHIGAZGY,2025-02-13 00:00:00,2025-07-21 00:00:00,ST025
AN000067,747efafd1f60573c6e3c77a8dd153c44788b37ef39ff02019bd0d24ed8745f8a,DVYDY6Z869DWSD,2024-09-22 00:00:00,2025-04-22 00:00:00,ST022
AN000068,31a665e41e86cf5b210c8b10113151913eedfcd4c08205ae2ff8aa45921b6708,DV189RHKNMLJPG,2025-01-16 00:00:00,2025-04-07 00:00:00,ST002
AN000069,c48f1284b59db1bc7c645baa207a009ad0ffe807a5ff8354a26b6f66872c42c8,DVXGZMMUOZ1FBV,2024-10-20 00:00:00,2025-11-22 00:00:00,ST016
AN000070,f9db30c75e20657c2fb1d66a59cd0e47c36a64528bbf61791ed00551b7306d30,DVCXIELSCD5JT6,2025-01-08 00:00:00,2025-10-25 00:00:00,ST022
AN000071,6dbb18dabd599d4432fda686d07350e1b233e1afcd9a547b7ab0d143ffd2f8ef,DVTDRU0M3BC2UI,2025-05-26 00:00:00,2025-06-27 00:00:00,ST031
AN000072,64be125190352961db8f0b829131176c0c9be6fc78639fc73b64625eae3cb319,DVSTOWY96K637L,2024-10-14 00:00:00,2025-06-19 00:00:00,ST026
AN000073,87255700722577feef009a52ec9c64fbbbf573122b0054627a1284eece9271fb,DVRRJKC573GC85,2025-10-22 00:00:00,2025-02-16 00:00:00,ST020
AN000074,d3ce2f3429dc6bca0ae9e462c8fded09fdd424713ff86200696e0206fa2cdfdd,DV4TDYA8Z1PLO0,2024-03-03 00:00:00,2025-05-12 00:00:00,ST015
AN000075,99978699846ac309485820f94ef668700edc853833027ecbed36af214c13a315,DVYEVVUZ7873FZ,2025-05-24 00:00:00,2025-08-08 00:00:00,ST034
AN000076,4395f1a271c4f4fa0f762bf61d0c075762e8d0d16e42e517a135c541b8d6ecb6,DVLF4266QQQFWQ,2024-09-23 00:00:00,2025-07-27 00:00:00,ST027
AN000077,b9245ea7d02f5d2b1f5396ecac112f6a32eefa615de7c69363bbfec5b14e619f,DVBU83WEPR9WZQ,2024-01-04 00:00:00,2025-12-07 00:00:00,ST012
AN000078,65d30b32db6d22066ad570a9a901ccf0ab4050ce6d5e264434e1782c8135529a,DVG0OQXEEH9YOV,2024-03-25 00:00:00,2025-04-04 00:00:00,ST030
AN000079,5e67d74f0f8f1f02346ce179f254485f81373ff9732ee4c3685128d839b9b658,DVLFSMKJ1NYZ33,2024-12-19 00:00:00,2025-09-22 00:00:00,ST007
AN000080,2774d20cd7e1f07788ecc2fa46673ca664da5be4b1551abbc93d7fdeb11a5143,DV7ITMT5FSCEMS,2024-03-05 00:00:00,2025-05-11 00:00:00,ST002
AN000081,0e61de6809391576cec3fe4f3d1f71b3f1e210374a94a60639715f204dd29aa7,DVBA932X3CV4C0,2024-07-28 00:00:00,2025-04-07 00:00:00,ST014
AN000082,9bfb0777fc735d219839303fd9c3c0826845cc6ce39cab981345083acc9530bb,DV9T08ZSJUN42Z,2024-05-21 00:00:00,2025-01-18 00:00:00,ST036
AN000083,97bc294e21f5f2ba5bb1a597b3552211ebde5806bb59cd23a77259f6a9f3315a,DVUJZH6R6BBCSD,2025-06-27 00:00:00,2025-01-17 00:00:00,ST035
AN000084,5cd8ba7eefc3017f740bf00009d7774d7cafae1a1c8369228f6d5950aad1407a,DVSZL9ZHQ5C2OD,2025-12-05 00:00:00,2025-03-06 00:00:00,ST036
AN000085,dee3f7c4d3a6ac1255b58d9c190b8491fb5aead3d44db743c7d9dcac0f8020e4,DVQI3EUJ1JXPVT,2025-02-11 00:00:00,2025-03-03 00:00:00,ST029
AN000086,1bd1e6991cf7238ae3aa8d3585d65a05f4eb42d3dcab97d4874f96af1fb410a6,DVYR1KTXPMG241,2025-09-01 00:00:00,2025-08-14 00:00:00,ST001
AN000087,a4b34801d32efff0a9101b1bbe6bf5370014827b65e6eca00a4ba6e65a5a7f6b,DVBQNTYTJ50H5P,2024-04-13 00:00:00,2025-08-07 00:00:00,ST006
AN000088,439ca60d9fe37f9be3222dcf81c2c2a23582ee46f7f08a505d37937f71be7019,DV3HD1LGG4X63C,2024-06-26 00:00:00,2025-08-29 00:00:00,ST030
AN000089,beb014627f683196aeedaf88bb1f57ee0bc30fe2b0e4068a854a46e6258f4069,DVLMXZWCKO1VZ8,2024-01-02 00:00:00,2025-02-19 00:00:00,ST019
AN000090,2da70126c832a43f4ac5bac8f799cc33dcbb7719b6ffd5fb12163f419164f4e2,DVTAJTJQJHZAOU,2025-06-12 00:00:00,2025-05-19 00:00:00,ST028
AN000091,f409eed2a29ad30f39e1f1eecaa4a436068e5bc2155c22458c6a8a52cee01321,DVYAVRKXFJCXE6,2025-04-02 00:00:00,2025-11-11 00:00:00,ST007
AN000092,c4755cc13a9cb522336ba5e1fbee3ec0b118908e2a94bbffcdb71de212a8f6f0,DVMNLZD2RPPNMR,2024-08-01 00:00:00,2025-09-05 00:00:00,ST008
AN000093,9a77d7e90b4e648659b83f48fde6d88f75130710d3cab051be00c670c2838d67,DVIAZK3VNDC16E,2024-12-22 00:00:00,2025-06-11 00:00:00,ST038
AN000094,e2541632241c924d54d5a6ce0b70729bb353ffb9c6aacebf5c83401756194598,DVYHQQDGXQQ75T,2024-06-03 00:00:00,2025-12-21 00:00:00,ST040
AN000095,ed0d24c1a5b64902574dd414f5a8a78cd6c1588a38e64c2c6f57bc1165c8c25a,DVNXKHRRRXZXE5,2025-06-26 00:00:00,2025-11-22 00:00:00,ST033
AN000096,979b5980cb8f359d29fe6293acdba3a121f1caea9631472617ef5a2e3be3dba8,DVE1J2W3E1H72A,2025-02-06 00:00:00,2025-06-10 00:00:00,ST017
AN000097,a65ac365b3286ff720c9e10f1abeb4bf805e5edf999b2ccf317cc55e864a9fbd,DVMUG0457QGBR3,2024-08-03 00:00:00,2025-05-07 00:00:00,ST022
AN000098,742d34b8018f06b9c1076eabf096633e948b7e5076bc53760067f07b2cfa7a56,DVJ4YVQHN85U2T,2025-12-23 00:00:00,2025-05-09 00:00:00,ST026
AN000099,35384156305518130ac489cf5fb2b542221f6005420e9c8b0940bf0d9e8c4434,DVOAWRMVVZZ825,2024-09-17 00:00:00,2025-03-04 00:00:00,ST004
AN000100,fea4c8a9b30025c3945427946001aa5868f63ab05a6a285a4f7f261f34e79b04,DV99PDRIVB0XR0,2024-06-05 00:00:00,2025-07-20 00:00:00,ST012
AN000101,481ff5e73aad95413eedef2ec757bb47386efe2a194851083b8b0bb355885ef9,DVJ42PNZN88V3E,2024-09-08 00:00:00,2025-04-14 00:00:00,ST028
AN000102,9c4e232399cf3bab0ac1815e6ccb7dfcc8dcfe0b4e13aa874d56ffb21c78b0d8,DV9NEXX24Q1DWC,2024-04-06 00:00:00,2025-05-16 00:00:00,ST037
AN000103,d5fddb734dcf93ad2dd6af30e2d70049069de82fdf2a456bf56ad6060098f403,DVB1AZQCMJ0NPP,2024-11-19 00:00:00,2025-04-18 00:00:00,ST001
AN000104,4069685d31af01297ec8360eb66a4600134a9e6b50a71ca586310c7f00b39570,DVVXX4LMQM8QWR,2024-09-08 00:00:00,2025-03-07 00:00:00,ST009
AN000105,076ffff3b46bb42b4b5db3e016f4452fa3d129b0172455a220a6158842bacdc7,DVPWDC7TD8OW22,2025-06-06 00:00:00,2025-06-22 00:00:00,ST020
AN000106,dd1fe7117dc89854b150c6e4b6397e247eba0558f54b5acae4b7e07d80d88029,DV537SOG5A0UZA,2025-11-20 00:00:00,2025-04-26 00:00:00,ST008
AN000107,50ba23a3eb176fc2e42ded16700dd6155133947180906fdbe3a07ac09aa0d23e,DVQ6Z0WE1ZMU90,2024-01-23 00:00:00,2025-03-19 00:00:00,ST001
AN000108,64b985b368e682b7825e68843f5cd399536ee3c22dc41b1c46f83013402bfc31,DVJJOELNE79V9Z,2025-05-22 00:00:00,2025-07-01 00:00:00,ST019
AN000109,cb5a6e8c08f012e9a5d3b8c01c1a4b13edc249573820de5f426fdd889bb212f0,DVRTDHKD4OLFHS,2024-04-12 00:00:00,2025-04-07 00:00:00,ST007
AN000110,0086dff8becdea9bed3ecd0788a3d5ac89f81b7a07d0ca8bd99ce60fad258c47,DVIZ7Y53WNQG2L,2024-05-18 00:00:00,2025-06-09 00:00:00,ST017
AN000111,3a842522b695baeb3014ad34255a5df278daf12b8d9876ced8ca6d055516d168,DVYQIURYONUTMN,2024-10-09 00:00:00,2025-03-23 00:00:00,ST026
AN000112,8851e7c074b2027dcdc0fe43b49e2d13a8fb93cb69b1e867bac0116e9bc58db8,DVECLUR2QR9ODF,2024-10-31 00:00:00,2025-01-24 00:00:00,ST040
AN000113,c8de53dd8fbb7d8f6335497dbb2d4ac649739be6e864d53adaf16621bbb5ddb4,DV190EBVW15BT3,2024-08-19 00:00:00,2025-06-06 00:00:00,ST006
AN000114,e413d0077255e820c08cb9cb17bd68fc107391747e756f39bc191f1f212a1d58,DV6LUMMDA2J7C4,2025-08-17 00:00:00,2025-10-01 00:00:00,ST037
AN000115,18bd8a616a2dcd1d278cb84e65f4e16c3866a3adb7169d42a7e6f4398e520c14,DVEQ640B7GXSMO,2025-09-21 00:00:00,2025-04-30 00:00:00,ST037
AN000116,191e2d8e3d047974ff41d8f52a98d9e2c2c19d4e8a80c6ca1353b780a724d72f,DV2FTKX80MSXIS,2025-10-02 00:00:00,2025-10-04 00:00:00,ST033
AN000117,1de61e1135d249cf24c570252442da407ebe1604fb2aae06ce38586ac64dbf94,DVMVOBP019E6AU,2024-05-19 00:00:00,2025-05-25 00:00:00,ST009
AN000118,8ba0ed886126561c2288d1381b5f75824d4e6da35f7c60724358fc60acc5ac97,DVJ074HA97WQ6K,2024-05-05 00:00:00,2025-02-22 00:00:00,ST033
AN000119,a268bb7e2113a7176c9a91d38815fcde78c413a33688d97054855694899a6dea,DVX3TPH2FHL2TH,2024-02-14 00:00:00,2025-10-26 00:00:00,ST005
AN000120,48c799c30d7e7681a27fd15e79090999498bbf87335c1421810488240ca6778d,DV9MN9EOVD40C8,2024-06-24 00:00:00,2025-07-30 00:00:00,ST025
AN000121,6ca82ffef15664b9805e661d25dd0e221aa1664d51660f12f70ff903000c229b,DVC02BLWRRZCB8,2024-09-30 00:00:00,2025-09-13 00:00:00,ST024
AN000122,dcf108af5a60b4c193f4efb5c5ea74574509900c88745cd00ce328f6b2a95e4a,DVYSB7CSJP45KI,2025-08-20 00:00:00,2025-11-14 00:00:00,ST039
AN000123,c5626221f4d1f06fe36914b26327209adee6913f83b7593431acd725360d819f,DV5KUI6X6DQC82,2024-02-22 00:00:00,2025-08-11 00:00:00,ST011
AN000124,52e1657d8bf755d1be67c59aaae44584ba9c64db03886faf113ed5cb294a8583,DV0GIVJCRPODQR,2025-06-14 00:00:00,2025-04-23 00:00:00,ST006
AN000125,0f83f9b4f148c2ed2d97f83afff7340ac1ff1de158ac4c1e535087fdf02376e9,DV3DXE0O35UOPU,2025-07-24 00:00:00,2025-12-06 00:00:00,ST040
AN000126,b4533bd642473ef13460e37fd4ba3e3c087bb7cf000e807146b45fe8713479a3,DVMEW6WQLJG2XI,2025-08-25 00:00:00,2025-06-22 00:00:00,ST012
AN000127,17c6de427b915b9af727dd0879886d080098278d3437ef07dbe9a25bc7cd15e2,DVTA4PXVMMAKCR,2025-06-12 00:00:00,2025-11-09 00:00:00,ST023
AN000128,b826505e927adc5214a57dc5ba06fae8b8bc13b3eb888b02a6536774a0126793,DVICDV1QE8MXX0,2024-12-07 00:00:00,2025-11-27 00:00:00,ST036
AN000129,9302dfe03c00db02ed2dead1e509e79ebfc9b0597604dc35a4bf69eed670c873,DVEUOI7U9YETZQ,2024-12-22 00:00:00,2025-03-03 00:00:00,ST010
AN000130,9b9d558d1fb552d25bd4b5120d25eb1e0497ff0ecc3df14d516836c7ad98dace,DV6RA6US7UUFQQ,2024-04-26 00:00:00,2025-06-03 00:00:00,ST031
AN000131,a9f086f46ac40fa04f2c48aefd5c40ef6f16c9a4c077ed7938b73ff94eec9aab,DV66520QJOC3KJ,2024-11-25 00:00:00,2025-09-24 00:00:00,ST034
AN000132,fe5f725da1f430397967625874e752eb6294bc4867df76e60baffc9ec776755b,DVAZK5T7BKA9TQ,2024-11-03 00:00:00,2025-04-29 00:00:00,ST008
AN000133,e0063d88b77be56fc55d35451c525ea4305a4837c93eb852766debc44e4a207d,DVK0IRTNS2TEFO,2025-09-29 00:00:00,2025-12-27 00:00:00,ST039
AN000134,31ae053fb4d4903ebf330a7cfbe671c6b05205e5d1346291d4c7a3cdb68b9d96,DVKD155KZXEAK5,2024-06-16 00:00:00,2025-08-03 00:00:00,ST003
AN000135,7e3d3e4e68ffbb3887e7c4b685e2a39fd2e849e1780accb4d64a1dcc5d4cb40c,DVDKN88E4Q0RJO,2025-03-20 00:00:00,2025-03-04 00:00:00,ST039
AN000136,112d9be5b0414ca6b363090c426b7a727fbcde0ed354eafbd905bd0314d5a45a,DVWQAPU88IVRD4,2024-11-05 00:00:00,2025-01-25 00:00:00,ST030
AN000137,b37e4608786a47e83d54b57b092b04b4279439899be4b05eeb13c17041381d3f,DVU80FB4NUHWT7,2024-06-10 00:00:00,2026-01-01 00:00:00,ST018
AN000138,1e986b36a08c56d370ddf9c68cc9fe5c6a40bb10229ed3fd826f2949d9ba9f37,DVS9QEU0V0BJEK,2024-02-26 00:00:00,2025-05-05 00:00:00,ST018
AN000139,ce268c24e60e05b06152b6ff8a8c7e39e1c912dac9a108a7edf389857877001a,DV4LQE2VH3G374,2024-02-21 00:00:00,2025-07-23 00:00:00,ST018
AN000140,2bdbe030f3ce5c8a36d719958542b1e8040c0ed8e622d3dd2007c9219519e2ec,DV5VN7MYF2CTS3,2025-04-20 00:00:00,2025-05-29 00:00:00,ST029
AN000141,b57824a023df3a3500aaf079adfc1244355c22ea1002a3c23a0012e258fd1266,DVVSVUFOQIAYPU,2024-07-06 00:00:00,2025-03-05 00:00:00,ST027
AN000142,466c474a091fe7d6de7a39f5173ce416831502e40b212ebe553e506c6384f359,DVCESMYVLVAB6W,2025-07-27 00:00:00,2025-11-20 00:00:00,ST037
AN000143,4b02d0525d79769f965ba29dd7e00ff52454583de2427f947d6dca3093781f32,DVU9072HC98NV7,2025-05-13 00:00:00,2025-07-11 00:00:00,ST020
AN000144,fd84612764b6848b38636510f3ac43b3f8dcf070ba05cdeff06405c120894ec8,DVDL0KKLEPINRD,2025-11-10 00:00:00,2025-07-17 00:00:00,ST007
AN000145,f6747aa5adb300a59528ab495c28d893817593c72d431ed6db74c6351fa1401a,DVXWZ0Y123SG8S,2025-10-03 00:00:00,2025-12-01 00:00:00,ST013
AN000146,c8f9e69abdb0fd2d890dd64a4d0918edf817b4ebb72386b333f7aa8a79a00813,DVTDXQ84FDE2LH,2024-09-18 00:00:00,2026-01-10 00:00:00,ST004
AN000147,4abd268c612ce0478d87f5521863423021c13b5462dba134a83f3f339e082ae0,DVT8765EFYPVHB,2024-07-10 00:00:00,2025-09-07 00:00:00,ST030
AN000148,7abd54577f058d243a6bff079184b4885dfdde0920dfb675e5d9ece6bb4d349a,DVUPN04GVBVZZK,2025-10-23 00:00:00,2025-09-28 00:00:00,ST005
AN000149,1a07d90dddaf39e57f73a6660f8b9542b787cfc793d402608c632b59db402ffe,DVRC6MXFOYQDNP,2025-03-22 00:00:00,2025-10-07 00:00:00,ST005
AN000150,a78ee25d27f586dca692139ffb1ff9cb2018e4170b0d1e04ea56d7da79b971cb,DVK9LG1V3WM3TT,2024-10-11 00:00:00,2025-07-23 00:00:00,ST021
