ContactId,FirstName,LastName,Email,CustomerType,Phone,City,Province,RegistrationDate,PreferredContactChannel,MarketingConsent,ProfilingConsent,LoyaltyMember,PreferredStoreId
CT_ALT00021,Stefano,Verdi,user714@example.it,B2B,+393260262494,Milano,PI,2025-01-22,Email,Yes,Yes,Yes,ST001
CT_ALT00022,Anna,Verdi,USER767@EXAMPLE.IT,B2B,+393299819404,La Spezia,TO,2023-03-08,SMS,Yes,No,No,ST013
CT_ALT00023,Giorgio,Bianchi,USER1405@EXAMPLE.IT,B2C,+393834845418,Genova,PR,2025-01-18,Email,Yes,Yes,Yes,ST019
CT_ALT00024,Davide,Costa,user1230@example.it,B2C,+393956089686,Firenze,PR,2024-05-19,SMS,No,Yes,Yes,ST012
CT_ALT00025,Marco,Ferrari,USER1423@EXAMPLE.IT,B2C,+393227379960,Rimini,PR,2024-03-14,Email,No,No,Yes,ST013
CT_ALT00026,Ilaria,Marino,user1178@example.it,B2C,+393822405408,Prato,BS,2025-06-01,Email,No,Yes,Yes,ST021
CT_ALT00027,Ilaria,Costa,user1216@example.it,B2B,+393768406989,Milano,LI,2025-10-22,SMS,No,No,No,ST004
CT_ALT00028,Matteo,Greco,user462@example.it,B2C,+393819535138,Torino,SP,2023-08-19,SMS,Yes,Yes,Yes,ST011
CT_ALT00029,Giulia,Neri,USER769@EXAMPLE.IT,B2C,+393508453957,Savona,PV,2023-02-05,Email,No,Yes,Yes,ST018
CT_ALT00030,Davide,Costa,user113@example.it,B2B,+393826903720,Bergamo,PI,2024-09-03,App,No,No,Yes,ST017
CT_ALT00031,Paolo,Greco,user236@example.it,B2C,+393478232495,Firenze,MO,2023-12-06,App,Yes,No,Yes,ST012
CT_ALT00032,Ilaria,Neri,user798@example.it,B2C,+393636739332,Bologna,GE,2023-11-21,Email,No,Yes,Yes,ST006
CT_ALT00033,Luca,Bianchi,user1037@example.it,B2B,+393505304777,Milano,AO,2025-08-01,Email,Yes,Yes,Yes,ST010
CT_ALT00034,Marco,Ferrari,user603@example.it,B2B,+393685585245,Firenze,CN,2024-02-03,SMS,Yes,Yes,Yes,ST015
CT_ALT00035,Chiara,Conti,user1255@example.it,B2B,+393402369333,Pisa,RA,2025-01-19,App,No,No,Yes,ST010
CT_ALT00036,Anna,Greco,,B2C,+393565109869,Aosta,PO,2023-07-08,Email,No,Yes,Yes,ST002
CT_ALT00037,Giulia,Greco,user1403@example.it,B2C,+393222353945,Genova,RA,2024-02-22,Email,No,Yes,Yes,ST008
CT_ALT00038,Giorgio,Marino,user352@example.it,B2B,+393365532466,Savona,AO,2025-02-14,App,Yes,No,Yes,ST002
CT_ALT00039,Marco,Conti,USER988@EXAMPLE.IT,B2C,+393301878404,Cuneo,MI,2023-09-19,SMS,Yes,Yes,Yes,ST019
CT_ALT00040,Marco,Verdi,user124@example.it,B2C,+393231698515,Torino,PO,2025-04-20,Email,Yes,Yes,Yes,ST010
CT_ALT00041,Elena,Neri,user729@example.it,B2C,+393687015784,Ravenna,PI,2025-02-02,SMS,No,Yes,Yes,ST021
CT_ALT00042,Chiara,Greco,user566@example.it,B2B,+393255999905,Ravenna,AR,2023-12-14,Email,Yes,No,Yes,ST022
CT_ALT00043,Matteo,Gallo,user1128@example.it,B2B,+393685426257,Genova,MO,2023-08-01,Email,Yes,No,Yes,ST012
CT_ALT00044,Matteo,Greco,user77@example.it,B2B,+393799948210,Torino,MO,2023-02-27,Email,No,Yes,No,ST013
CT_ALT00045,Davide,Romano,USER1271@EXAMPLE.IT,B2B,+393369670085,Parma,BS,2023-03-10,Email,Yes,Yes,Yes,ST009
CT_ALT00046,Davide,Greco,user424@example.it,B2C,+393299753110,Brescia,LI,2023-11-25,Email,Yes,Yes,No,ST002
CT_ALT00047,Ilaria,Conti,USER542@EXAMPLE.IT,B2C,+393456232902,Savona,RA,2023-02-04,Email,Yes,No,Yes,ST020
CT_ALT00048,Paolo,Marino,user89@example.it,B2C,+393773474732,Firenze,MO,2026-02-05,Email,Yes,Yes,Yes,ST004
CT_ALT00049,Giorgio,Gallo,USER266@EXAMPLE.IT,B2C,+393847163896,Ravenna,TO,2023-11-10,Email,No,Yes,Yes,ST005
CT_ALT00050,Matteo,Conti,USER1225@EXAMPLE.IT,B2B,+393323878056,Arezzo,RA,2023-12-27,Email,No,Yes,No,ST008
CT_ALT00051,Marco,Marino,USER1301@EXAMPLE.IT,B2B,+393621613545,Livorno,LI,2023-04-14,App,Yes,No,Yes,ST014
CT_ALT00052,Paolo,Romano,user537@example.it,B2B,+393905929200,Prato,BO,2023-12-28,Email,Yes,No,Yes,ST003
CT_ALT00053,Luca,Rossi,USER1299@EXAMPLE.IT,B2B,+393564565163,Livorno,TO,2025-05-09,Email,Yes,No,Yes,ST002
CT_ALT00054,Matteo,Bianchi,USER343@EXAMPLE.IT,B2C,+393962796661,Firenze,AR,2023-07-06,Email,Yes,Yes,Yes,ST004
CT_ALT00055,Giulia,Ferrari,USER367@EXAMPLE.IT,B2B,+393358985709,Arezzo,FI,2024-07-11,SMS,Yes,Yes,Yes,ST018
CT_ALT00056,Ilaria,Bianchi,user442@example.it,B2B,+393615905130,La Spezia,MO,2023-12-20,Email,Yes,Yes,Yes,ST014
CT_ALT00057,Giorgio,Neri,USER527@EXAMPLE.IT,B2B,+393317877814,Bologna,RN,2025-03-10,SMS,Yes,Yes,Yes,ST012
CT_ALT00058,Giulia,Romano,USER615@EXAMPLE.IT,B2B,+393586723527,Firenze,GE,2023-12-09,Email,Yes,Yes,Yes,ST003
CT_ALT00059,Ilaria,Romano,user111@example.it,B2C,+393982411677,Rimini,AO,2025-04-20,SMS,Yes,Yes,Yes,ST008
CT_ALT00060,Davide,Costa,USER533@EXAMPLE.IT,B2C,+393828684795,Brescia,LI,2023-03-02,Email,Yes,Yes,Yes,ST021
CT_ALT00061,Elena,Gallo,user599@example.it,B2C,+393861593712,Modena,RA,2023-06-11,SMS,Yes,No,Yes,ST008
CT_ALT00062,Giorgio,Conti,user1166@example.it,B2C,+393742349020,Rimini,AO,2024-10-17,Email,Yes,Yes,No,ST011
CT_ALT00063,Francesca,Bianchi,user103@example.it,B2C,+393431597455,Pavia,GE,2024-12-03,App,Yes,No,Yes,ST018
CT_ALT00064,Marco,Marino,user1409@example.it,B2C,+393233054792,Ravenna,SV,2023-06-25,Email,Yes,Yes,Yes,ST001
CT_ALT00065,Matteo,Romano,user175@example.it,B2C,+393684361226,Modena,AR,2024-08-07,SMS,No,Yes,Yes,ST001
CT_ALT00066,Luca,Romano,USER29@EXAMPLE.IT,B2B,+393997841829,Bologna,PR,2024-06-13,Email,Yes,Yes,Yes,ST015
CT_ALT00067,Paolo,Greco,user782@example.it,B2C,+393556336798,Brescia,GE,2023-05-02,Email,Yes,No,No,ST020
CT_ALT00068,Davide,Bianchi,user72@example.it,B2B,+393606439432,Milano,SP,2023-11-11,App,Yes,Yes,No,ST018
CT_ALT00069,Francesca,Verdi,USER733@EXAMPLE.IT,B2C,+393628500187,Prato,GE,2024-12-04,App,Yes,No,Yes,ST008
CT_ALT00070,Paolo,Rossi,USER637@EXAMPLE.IT,B2C,+393807552681,Milano,RA,2024-10-27,App,Yes,Yes,Yes,ST013
CT_ALT00071,Giorgio,Marino,USER754@EXAMPLE.IT,B2C,+393424978991,Pisa,RN,2023-10-11,Email,Yes,No,Yes,ST006
CT_ALT00072,Matteo,Marino,user1422@example.it,B2C,+393866080315,Bergamo,AO,2023-09-05,Email,Yes,Yes,Yes,ST015
CT_ALT00073,Marco,Bianchi,USER1119@EXAMPLE.IT,B2B,+393726207332,Livorno,MI,2023-07-15,Email,No,No,Yes,ST010
CT_ALT00074,Chiara,Neri,user252@example.it,B2C,+393379548807,Genova,LI,2025-08-03,Email,Yes,Yes,No,ST014
CT_ALT00075,Anna,Greco,user977@example.it,B2C,+393549163834,Bologna,AO,2026-01-31,SMS,Yes,Yes,Yes,ST005
CT_ALT00076,Davide,Rossi,USER489@EXAMPLE.IT,B2C,+393673235783,Milano,FI,2023-06-01,App,Yes,Yes,Yes,ST002
CT_ALT00077,Elena,Bianchi,,B2C,+393339946222,Arezzo,MO,2024-01-03,Email,Yes,Yes,Yes,ST019
CT_ALT00078,Chiara,Costa,,B2B,+393547306097,Bergamo,GE,2023-11-12,Email,Yes,No,Yes,ST002
CT_ALT00079,Ilaria,Marino,USER546@EXAMPLE.IT,B2C,+393854323700,Bologna,AR,2025-06-15,Email,No,Yes,No,ST005
CT_ALT00080,Paolo,Verdi,user336@example.it,B2B,+393209688798,Modena,GE,2025-02-19,Email,Yes,Yes,Yes,ST010
CT_ALT00081,Francesca,Costa,user690@example.it,B2B,+393367990541,Genova,BG,2025-12-12,SMS,Yes,Yes,Yes,ST016
CT_ALT00082,Ilaria,Rossi,user693@example.it,B2C,+393655834827,Pavia,BG,2025-12-28,Email,No,Yes,No,ST006
CT_ALT00083,Stefano,Bianchi,user96@example.it,B2C,+393878552447,Livorno,BO,2025-06-01,Email,No,No,Yes,ST009
CT_ALT00084,Ilaria,Gallo,user870@example.it,B2B,+393834274799,Rimini,MI,2024-09-17,App,Yes,Yes,Yes,ST017
CT_ALT00085,Francesca,Costa,user31@example.it,B2C,+393530595262,Milano,RA,2025-12-24,App,No,Yes,Yes,ST002
CT_ALT00086,Francesca,Neri,USER980@EXAMPLE.IT,B2C,+393709708887,Arezzo,RA,2025-11-07,Email,No,Yes,Yes,ST010
CT_ALT00087,Elena,Conti,user379@example.it,B2C,+393738819777,Cuneo,PV,2025-08-16,Email,Yes,Yes,Yes,ST009
CT_ALT00088,Giulia,Ferrari,user443@example.it,B2B,+393292575041,Ravenna,MO,2024-07-06,App,Yes,Yes,Yes,ST007
CT_ALT00089,Giorgio,Costa,,B2C,+393499269692,Firenze,TO,2023-08-20,Email,No,No,No,ST013
CT_ALT00090,Matteo,Conti,user229@example.it,B2B,+393778799167,Firenze,PR,2025-11-10,Email,Yes,No,No,ST013
CT_ALT00091,Sara,Conti,user543@example.it,B2C,+393487268652,Prato,CN,2025-08-17,SMS,Yes,Yes,Yes,ST007
CT_ALT00092,Luca,Gallo,user606@example.it,B2C,+393284175095,Rimini,RN,2025-10-05,App,Yes,Yes,Yes,ST022
CT_ALT00093,Giorgio,Neri,user471@example.it,B2B,+393847587077,Torino,PR,2025-06-02,SMS,No,No,Yes,ST020
CT_ALT00094,Paolo,Costa,user1163@example.it,B2B,+393722954594,Pisa,MI,2023-08-14,Email,No,Yes,Yes,ST021
CT_ALT00095,Anna,Rossi,user778@example.it,B2B,+393533420514,Livorno,TO,2025-08-21,SMS,Yes,No,Yes,ST017
CT_ALT00096,Marco,Marino,USER448@EXAMPLE.IT,B2C,+393617874689,Genova,AO,2024-06-01,SMS,Yes,Yes,Yes,ST005
CT_ALT00097,Luca,Greco,user1077@example.it,B2C,+393372021809,Aosta,AO,2024-05-10,Email,Yes,Yes,Yes,ST010
CT_ALT00098,Giorgio,Marino,user601@example.it,B2C,+393470090257,Modena,RA,2025-03-08,App,Yes,Yes,Yes,ST003
CT_ALT00099,Paolo,Bianchi,user98@example.it,B2C,+393642828221,Brescia,SV,2025-03-23,Email,Yes,No,Yes,ST016
CT_ALT00100,Anna,Neri,user678@example.it,B2C,+393565559940,Prato,SP,2023-08-21,App,Yes,No,Yes,ST011
CT_ALT00101,Giulia,Costa,user563@example.it,B2C,+393560524907,La Spezia,BO,2023-07-08,SMS,Yes,Yes,No,ST020
CT_ALT00102,Marco,Verdi,USER215@EXAMPLE.IT,B2B,+393995525247,Ravenna,MO,2023-06-01,Email,No,Yes,No,ST020
CT_ALT00103,Luca,Bianchi,user1190@example.it,B2C,+393294766692,Bologna,AO,2025-01-29,App,Yes,No,Yes,ST019
CT_ALT00104,Elena,Gallo,USER1353@EXAMPLE.IT,B2B,+393531689826,Prato,CN,2025-12-31,Email,No,No,Yes,ST019
CT_ALT00105,Francesca,Costa,user206@example.it,B2B,+393780142343,Milano,MI,2024-12-12,Email,Yes,Yes,Yes,ST004
CT_ALT00106,Sara,Rossi,user1447@example.it,B2B,+393699402726,Bologna,SV,2024-01-04,Email,Yes,Yes,Yes,ST002
CT_ALT00107,Anna,Marino,USER100@EXAMPLE.IT,B2B,+393451386933,Bergamo,RA,2025-05-29,Email,Yes,No,Yes,ST018
CT_ALT00108,Giorgio,Marino,,B2C,+393775763872,Cuneo,PI,2024-08-23,Email,No,Yes,No,ST006
CT_ALT00109,Matteo,Costa,user632@example.it,B2B,+393346578482,Bergamo,AO,2023-11-30,Email,Yes,Yes,No,ST004
CT_ALT00110,Francesca,Romano,user1332@example.it,B2C,+393687398258,Cuneo,MO,2024-07-21,Email,No,Yes,Yes,ST005
CT_ALT00111,Anna,Neri,USER1464@EXAMPLE.IT,B2C,+393852768857,Firenze,MI,2023-08-11,Email,No,No,Yes,ST014
CT_ALT00112,Sara,Marino,USER667@EXAMPLE.IT,B2C,+393904608598,Pisa,AR,2023-09-12,Email,Yes,Yes,No,ST018
CT_ALT00113,Elena,Rossi,user628@example.it,B2C,+393433353171,Savona,RA,2024-01-17,Email,No,Yes,Yes,ST022
CT_ALT00114,Marco,Romano,USER873@EXAMPLE.IT,B2C,+393915596120,Cuneo,LI,2024-06-04,App,No,No,Yes,ST015
CT_ALT00115,Giulia,Costa,user957@example.it,B2C,+393226118077,Firenze,MO,2024-07-17,App,Yes,Yes,Yes,ST006
CT_ALT00116,Francesca,Rossi,USER954@EXAMPLE.IT,B2C,+393639463007,La Spezia,RA,2023-02-23,Email,Yes,No,Yes,ST015
CT_ALT00117,Stefano,Bianchi,USER1475@EXAMPLE.IT,B2B,+393928392202,Brescia,BO,2026-01-02,Email,Yes,Yes,Yes,ST017
CT_ALT00118,Francesca,Gallo,user109@example.it,B2B,+393542090828,Modena,AO,2025-07-22,App,Yes,No,Yes,ST009
CT_ALT00119,Marco,Romano,user857@example.it,B2C,+393314883358,Prato,MI,2025-07-14,Email,Yes,Yes,Yes,ST022
CT_ALT00120,Chiara,Rossi,USER1009@EXAMPLE.IT,B2C,+393728035250,Firenze,RA,2024-11-14,Email,No,No,Yes,ST004
CT_ALT00121,Marco,Bianchi,user123@example.it,B2C,+393353547379,Livorno,AR,2025-07-08,Email,Yes,Yes,Yes,ST001
CT_ALT00122,Anna,Bianchi,,B2C,+393931449534,Firenze,RN,2025-12-31,Email,Yes,Yes,Yes,ST007
CT_ALT00123,Stefano,Rossi,user301@example.it,B2C,+393466669499,Firenze,RA,2023-01-20,SMS,No,Yes,Yes,ST009
CT_ALT00124,Marco,Bianchi,user381@example.it,B2B,+393680042840,Firenze,AO,2025-08-03,Email,Yes,Yes,Yes,ST014
CT_ALT00125,Marco,Gallo,,B2B,+393463869440,Parma,MI,2023-04-05,Email,Yes,Yes,No,ST011
CT_ALT00126,Luca,Greco,user170@example.it,B2B,+393522240251,Parma,BS,2023-06-25,App,Yes,Yes,No,ST006
CT_ALT00127,Paolo,Costa,user314@example.it,B2C,+393465744526,Firenze,FI,2024-01-29,Email,Yes,No,Yes,ST019
CT_ALT00128,Chiara,Neri,USER849@EXAMPLE.IT,B2B,+393674968489,Pisa,PV,2024-11-13,SMS,No,Yes,Yes,ST021
CT_ALT00129,Francesca,Romano,USER895@EXAMPLE.IT,B2C,+393849034726,Cuneo,PR,2024-07-03,Email,No,No,Yes,ST008
CT_ALT00130,Marco,Ferrari,USER116@EXAMPLE.IT,B2B,+393909182681,Savona,AR,2024-01-31,SMS,Yes,No,Yes,ST010
CT_ALT00131,Sara,Ferrari,user829@example.it,B2C,+393788726444,Ravenna,MI,2025-05-25,Email,Yes,No,Yes,ST013
CT_ALT00132,Francesca,Gallo,USER622@EXAMPLE.IT,B2C,+393498955661,Modena,SP,2025-02-20,Email,Yes,No,Yes,ST003
CT_ALT00133,Davide,Marino,user294@example.it,B2C,+393228927591,Torino,BG,2024-03-17,SMS,Yes,Yes,Yes,ST005
CT_ALT00134,Giulia,Gallo,USER187@EXAMPLE.IT,B2C,+393529484835,Prato,CN,2025-03-16,Email,No,Yes,Yes,ST010
CT_ALT00135,Ilaria,Ferrari,user1324@example.it,B2C,+393329745613,Parma,BS,2024-12-14,Email,Yes,Yes,Yes,ST016
CT_ALT00136,Sara,Verdi,USER1265@EXAMPLE.IT,B2C,+393214264901,Aosta,SP,2025-07-05,Email,Yes,Yes,Yes,ST010
CT_ALT00137,Giorgio,Rossi,user268@example.it,B2C,+393256140642,Prato,FI,2025-01-12,Email,No,Yes,Yes,ST004
CT_ALT00138,Marco,Neri,user1079@example.it,B2B,+393502404638,Ravenna,CN,2023-11-28,Email,Yes,Yes,Yes,ST002
CT_ALT00139,Giorgio,Neri,user107@example.it,B2B,+393206733460,Pisa,AO,2023-05-22,App,Yes,No,Yes,ST012
CT_ALT00140,Giulia,Ferrari,user1308@example.it,B2C,+393799827105,Firenze,RN,2025-10-17,Email,No,Yes,Yes,ST022
CT_ALT00141,Giorgio,Marino,user1406@example.it,B2C,+393699616409,Bergamo,RA,2025-10-13,Email,Yes,No,No,ST021
CT_ALT00142,Marco,Romano,user963@example.it,B2B,+393891235432,Aosta,MI,2024-04-05,Email,Yes,No,Yes,ST001
CT_ALT00143,Francesca,Verdi,user558@example.it,B2C,+393813401833,Aosta,BS,2025-01-05,SMS,No,Yes,Yes,ST015
CT_ALT00144,Stefano,Bianchi,USER562@EXAMPLE.IT,B2B,+393403937037,Bergamo,GE,2023-01-30,Email,Yes,Yes,Yes,ST008
CT_ALT00145,Matteo,Verdi,USER1397@EXAMPLE.IT,B2B,+393854017334,Cuneo,BG,2024-11-09,SMS,Yes,Yes,Yes,ST018
CT_ALT00146,Davide,Verdi,USER1220@EXAMPLE.IT,B2C,+393547181915,Rimini,SP,2023-09-07,Email,Yes,No,Yes,ST003
CT_ALT00147,Chiara,Costa,USER1471@EXAMPLE.IT,B2B,+393436169736,Pavia,BG,2023-11-02,Email,Yes,No,No,ST003
CT_ALT00148,Sara,Greco,USER883@EXAMPLE.IT,B2C,+393471598894,Bologna,PI,2023-10-17,Email,Yes,Yes,Yes,ST015
CT_ALT00149,Ilaria,Verdi,user577@example.it,B2C,+393552867507,Milano,GE,2024-01-30,Email,Yes,No,Yes,ST005
CT_ALT00150,Davide,Conti,USER333@EXAMPLE.IT,B2C,+393367044387,Pisa,RA,2023-05-10,Email,Yes,Yes,Yes,ST006
CT_ALT00151,Ilaria,Greco,user956@example.it,B2B,+393525766859,Livorno,RN,2024-09-11,Email,No,Yes,Yes,ST015
CT_ALT00152,Marco,Ferrari,user882@example.it,B2B,+393666520137,Cuneo,LI,2025-10-11,Email,Yes,Yes,Yes,ST016
CT_ALT00153,Davide,Bianchi,user42@example.it,B2C,+393237617635,Prato,PO,2023-12-02,Email,No,Yes,Yes,ST019
CT_ALT00154,Giorgio,Conti,user840@example.it,B2C,+393533369146,Milano,CN,2025-12-14,Email,Yes,Yes,Yes,ST016
CT_ALT00155,Sara,Bianchi,user959@example.it,B2C,+393688540851,Torino,AR,2025-07-19,App,Yes,Yes,Yes,ST003
CT_ALT00156,Paolo,Conti,,B2C,+393285295726,La Spezia,AO,2024-06-17,SMS,Yes,Yes,Yes,ST013
CT_ALT00157,Sara,Rossi,user605@example.it,B2C,+393397236714,Bologna,MI,2023-10-20,App,Yes,Yes,Yes,ST009
CT_ALT00158,Giorgio,Gallo,user560@example.it,B2B,+393617269689,Modena,BG,2024-01-04,App,Yes,No,Yes,ST022
CT_ALT00159,Anna,Ferrari,user1432@example.it,B2C,+393930640882,La Spezia,PI,2025-05-31,SMS,Yes,Yes,Yes,ST007
CT_ALT00160,Ilaria,Costa,user927@example.it,B2B,+393240672269,Milano,RA,2025-02-07,Email,Yes,Yes,Yes,ST007
CT_ALT00161,Anna,Rossi,USER1245@EXAMPLE.IT,B2B,+393602290324,Pavia,AR,2023-04-07,SMS,Yes,Yes,Yes,ST001
CT_ALT00162,Giulia,Gallo,user91@example.it,B2C,+393749228924,Arezzo,GE,2023-07-14,SMS,Yes,Yes,Yes,ST002
CT_ALT00163,Matteo,Romano,user437@example.it,B2B,+393278248714,Parma,PR,2025-02-04,Email,No,Yes,Yes,ST005
CT_ALT00164,Chiara,Marino,USER505@EXAMPLE.IT,B2B,+393749146866,Aosta,CN,2023-02-21,Email,Yes,No,Yes,ST017
CT_ALT00165,Marco,Costa,user479@example.it,B2C,+393886084795,Aosta,AR,2024-11-18,Email,Yes,No,Yes,ST005
CT_ALT00166,Paolo,Ferrari,user886@example.it,B2C,+393937364181,Milano,BO,2024-04-27,Email,No,Yes,Yes,ST005
CT_ALT00167,Francesca,Greco,USER1239@EXAMPLE.IT,B2B,+393652557035,Aosta,SV,2024-10-29,Email,No,No,Yes,ST009
CT_ALT00168,Giorgio,Bianchi,user803@example.it,B2C,+393373268813,Arezzo,TO,2024-10-01,Email,Yes,No,Yes,ST011
CT_ALT00169,Giulia,Conti,USER160@EXAMPLE.IT,B2B,+393973753971,Ravenna,PV,2023-01-27,Email,Yes,Yes,No,ST018
CT_ALT00170,Ilaria,Marino,USER10@EXAMPLE.IT,B2B,+393916066420,La Spezia,LI,2025-03-09,Email,Yes,Yes,Yes,ST015
CT_ALT00171,Stefano,Costa,user1398@example.it,B2C,+393365644738,Savona,AO,2025-06-12,Email,Yes,Yes,Yes,ST004
CT_ALT00172,Elena,Verdi,user780@example.it,B2C,+393992740834,Modena,SV,2023-08-25,Email,Yes,Yes,Yes,ST022
CT_ALT00173,Giorgio,Neri,USER976@EXAMPLE.IT,B2B,+393409508568,Genova,TO,2024-12-03,Email,Yes,Yes,No,ST015
CT_ALT00174,Davide,Verdi,USER1099@EXAMPLE.IT,B2B,+393402380614,Bergamo,TO,2025-01-26,Email,Yes,Yes,Yes,ST007
CT_ALT00175,Marco,Marino,user949@example.it,B2B,+393490443003,Aosta,PV,2024-12-14,SMS,Yes,Yes,No,ST022
CT_ALT00176,Davide,Marino,user243@example.it,B2C,+393992506583,La Spezia,GE,2023-05-02,Email,No,Yes,Yes,ST009
CT_ALT00177,Chiara,Ferrari,user369@example.it,B2B,+393714343693,Ravenna,PR,2024-01-30,SMS,No,Yes,Yes,ST011
CT_ALT00178,Giorgio,Romano,,B2C,+393744157281,Pisa,PV,2024-05-17,App,No,No,No,ST007
CT_ALT00179,Matteo,Conti,USER1162@EXAMPLE.IT,B2C,+393657273671,Prato,LI,2023-01-11,Email,No,Yes,Yes,ST010
CT_ALT00180,Giorgio,Gallo,user1396@example.it,B2C,+393387076326,Pavia,FI,2023-09-06,Email,Yes,Yes,Yes,ST022
CT_ALT00181,Davide,Conti,USER509@EXAMPLE.IT,B2B,+393967724717,Aosta,AR,2023-07-08,App,Yes,No,Yes,ST020
CT_ALT00182,Marco,Bianchi,USER1152@EXAMPLE.IT,B2B,+393406981817,Genova,PR,2024-09-26,Email,Yes,Yes,No,ST017
CT_ALT00183,Chiara,Conti,user1373@example.it,B2C,+393616154094,Firenze,PV,2023-11-11,App,No,Yes,Yes,ST016
CT_ALT00184,Marco,Romano,USER1468@EXAMPLE.IT,B2B,+393755222191,Savona,PO,2024-01-01,SMS,Yes,Yes,Yes,ST021
CT_ALT00185,Matteo,Rossi,,B2C,+393529216498,Genova,SP,2023-09-04,Email,Yes,No,No,ST018
CT_ALT00186,Marco,Rossi,USER226@EXAMPLE.IT,B2B,+393966788458,Brescia,BG,2024-04-22,Email,Yes,Yes,Yes,ST005
CT_ALT00187,Chiara,Bianchi,user656@example.it,B2C,+393571050606,Aosta,AR,2024-03-14,Email,Yes,Yes,Yes,ST020
CT_ALT00188,Anna,Costa,,B2B,+393646353763,Bologna,AO,2025-06-21,Email,No,Yes,Yes,ST008
CT_ALT00189,Giorgio,Ferrari,USER765@EXAMPLE.IT,B2C,+393634271922,Livorno,AO,2024-12-08,Email,No,Yes,Yes,ST017
CT_ALT00190,Ilaria,Rossi,user936@example.it,B2B,+393833453021,Modena,RN,2023-04-17,Email,No,No,Yes,ST013
CT_ALT00191,Francesca,Bianchi,USER540@EXAMPLE.IT,B2B,+393965959545,Rimini,TO,2025-02-19,Email,Yes,Yes,Yes,ST015
CT_ALT00192,Chiara,Marino,user1021@example.it,B2C,+393958903396,Ravenna,PV,2026-01-07,App,Yes,No,Yes,ST020
CT_ALT00193,Davide,Verdi,user1038@example.it,B2B,+393311060963,Savona,PV,2023-12-06,SMS,No,Yes,No,ST022
CT_ALT00194,Giulia,Marino,user1241@example.it,B2C,+393539040398,Prato,BG,2026-01-04,Email,No,No,Yes,ST008
CT_ALT00195,Stefano,Rossi,user1144@example.it,B2B,+393859308697,Savona,MO,2023-03-05,Email,Yes,No,Yes,ST007
CT_ALT00196,Marco,Ferrari,USER658@EXAMPLE.IT,B2C,+393216811274,Prato,RA,2025-01-24,SMS,No,Yes,Yes,ST003
