ContactId,AccountId,FirstName,LastName,Email,Phone,Role,CreatedDate
CO000037,AC00285,Stefano,Marino,qwrmwl.ma6g@example.it,+393474700215,Manager,2023-03-19
CO000038,AC00387,Sara,Marino,mdrdsf.erfx@example.it,+393696008318,Owner,2023-08-24
CO000039,AC00138,Alessandro,Romano,iokpg3.dp4f@example.it,+393697536841,Manager,2025-03-06
CO000040,AC00187,Marco,Mancini,mpm5hg.bo06@example.it,+393226482884,Buyer,2023-05-19
CO000041,AC00431,Ilaria,Gallo,fhrxjp.t2zl@example.it,+393946146468,Accountant,2022-05-11
CO000042,AC00416,Ilaria,Mancini,15s74n.ddaf@example.it,+393839775902,Owner,2022-08-06
CO000043,AC00426,Ilaria,Ricci,s1iym9.0pkr@example.it,+393335379885,Manager,2023-11-19
CO000044,AC00416,Paolo,Bruno,1ifsi1.59i3@example.it,+393201178290,Buyer,2022-06-20
CO000045,AC00026,Matteo,De Luca,hz3zsg.9vwi@example.it,+393677726708,Accountant,2023-09-04
CO000046,AC00371,Ilaria,Bruno,eb97pw.dbol@example.it,+393322980417,Buyer,2024-09-18
CO000047,AC00385,Francesca,Verdi,wimrsx.kjkm@example.it,+393297532382,Accountant,2025-02-26
CO000048,AC00056,Elena,Bruno,plbbb0.hq6d@example.it,+393569638035,Chef,2022-02-26
CO000049,AC00253,Chiara,Ferrari,g8nkda.t5l0@example.it,+393374056391,Owner,2025-04-19
CO000050,AC00106,Paolo,Romano,n2tnxh.n5e0@example.it,+393442289595,Manager,2022-09-03
CO000051,AC00130,Davide,Bruno,ev6xgz.7ctm@example.it,+393966323369,Accountant,2022-05-24
CO000052,AC00376,Davide,De Luca,09hzbg.tj54@example.it,+393791342660,Owner,2024-12-10
CO000053,AC00308,Davide,Colombo,696qz6.cp7s@example.it,+393206570447,Buyer,2023-01-03
CO000054,AC00091,Marco,Conti,avzebu.2y0o@example.it,+393394274844,Buyer,2022-08-06
CO000055,AC00393,Luca,Ferrari,y58f1n.2ojg@example.it,+393402985659,Buyer,2023-09-08
CO000056,AC00534,Giulia,Costa,fhz52q.zskh@example.it,+393663264925,Owner,2025-07-04
CO000057,AC00110,Valentina,Greco,ztgbib.f57j@example.it,+393952074582,Owner,2025-03-25
CO000058,AC00340,Francesca,Marino,2xi3ta.mvnc@example.it,+393380655444,Buyer,2023-03-18
CO000059,AC00356,Chiara,Bianchi,ztzowl.c33h@example.it,+393306273231,Buyer,2024-04-20
CO000060,AC00168,Davide,Bianchi,8g8t92.2d0n@example.it,+393894748460,Owner,2024-08-13
CO000061,AC00452,Chiara,Colombo,x5wt3h.ju31@example.it,+393852829035,Chef,2023-11-30
CO000062,AC00105,Andrea,Bianchi,fi0n6d.gg5g@example.it,+393979061056,Manager,2024-05-25
CO000063,AC00150,Sara,Bianchi,r0xafg.ovcc@example.it,+393908941520,Owner,2024-02-15
CO000064,AC00146,Marco,Verdi,i68ds0.3vna@example.it,+393383520510,Manager,2024-02-01
CO000065,AC00299,Martina,Mancini,31xbid.fwa8@example.it,+393272504595,Manager,2024-08-02
CO000066,AC00167,Davide,Verdi,8d0mzh.rupf@example.it,+393578570916,Accountant,2024-07-11
CO000067,AC00048,Sara,Gallo,lfcywe.3dks@example.it,+393763105566,Owner,2024-07-23
CO000068,AC00239,Francesca,Esposito,4f6apf.xi5n@example.it,+393333673276,Owner,2022-01-25
CO000069,AC00007,Valentina,Colombo,53egdd.8mwe@example.it,+393760765929,Chef,2024-03-16
CO000070,AC00464,Francesca,Bianchi,776vgt.vyfy@example.it,+393815093779,Chef,2024-02-03
CO000071,AC00453,Giulia,Gallo,k3md6x.73zc@example.it,+393724880437,Manager,2024-12-19
CO000072,AC00371,Matteo,Colombo,a7fxlo.z2rc@example.it,+393976089213,Manager,2023-03-10
CO000073,AC00549,Giulia,Conti,u8kd9g.nlpy@example.it,+393204591234,Owner,2024-05-28
CO000074,AC00487,Luca,Bianchi,o2m2xi.prtt@example.it,+393937011510,Buyer,2024-12-25
CO000075,AC00211,Chiara,Ricci,3nupuy.0zia@example.it,+393593034684,Owner,2024-06-28
CO000076,AC00165,Elena,Marino,9au87c.m453@example.it,+393807247598,Owner,2023-07-19
CO000077,AC00125,Francesca,Bruno,kf486i.3ce8@example.it,+393301429236,Manager,2022-04-16
CO000078,AC00337,Ilaria,Rossi,zna8nz.xc45@example.it,+393665719249,Owner,2022-04-06
CO000079,AC00192,Elena,Ricci,bnccu3.fg00@example.it,+393314263314,Buyer,2022-06-17
CO000080,AC00214,Marco,Romano,zkom2z.kf5b@example.it,+393320328413,Chef,2022-02-11
CO000081,AC00328,Stefano,Colombo,1sa3y5.t37s@example.it,+393740234831,Owner,2022-04-14
CO000082,AC00381,Paolo,Esposito,zpf9s9.ehwh@example.it,+393668721024,Accountant,2025-05-12
CO000083,AC00239,Andrea,Romano,g0u43q.lx3f@example.it,+393427027678,Accountant,2023-06-04
CO000084,AC00532,Davide,Gallo,2xhdcv.4bkt@example.it,+393775021545,Buyer,2022-10-09
CO000085,AC00082,Marco,Mancini,cv1ltw.bj9u@example.it,+393598818191,Owner,2024-12-02
CO000086,AC00363,Alessandro,Gallo,u2bl7a.mkoh@example.it,+393556821313,Buyer,2024-08-04
CO000087,AC00505,Andrea,Bruno,109zdo.0d3f@example.it,+393790813637,Buyer,2025-02-07
CO000088,AC00202,Francesca,Bianchi,vnv4kf.q5dz@example.it,+393791203447,Buyer,2025-05-18
CO000089,AC00504,Sara,Romano,53x1f8.s0x7@example.it,+393287566900,Buyer,2024-01-19
CO000090,AC00037,Ilaria,De Luca,m2mm4p.61nh@example.it,+393984185895,Accountant,2024-04-10
CO000091,AC00402,Chiara,Marino,vcfwr2.f5t8@example.it,+393831941362,Owner,2022-02-18
CO000092,AC00176,Ilaria,Bianchi,2ddl7f.kndg@example.it,+393536024657,Manager,2022-04-25
CO000093,AC00545,Elena,Colombo,1jrj5x.feub@example.it,+393810932306,Owner,2025-03-24
CO000094,AC00467,Valentina,Conti,4o47en.48ny@example.it,+393697947770,Buyer,2023-05-18
CO000095,AC00201,Giulia,Gallo,sj5ywx.0i3a@example.it,+393941168953,Chef,2024-09-12
CO000096,AC00540,Paolo,Rossi,4kfocn.qdqx@example.it,+393705136666,Buyer,2022-03-12
CO000097,AC00547,Ilaria,Bruno,6qd077.1hll@example.it,+393379829630,Owner,2024-10-08
CO000098,AC00394,Matteo,Gallo,9rzrkb.fqxl@example.it,+393955890305,Manager,2025-09-21
CO000099,AC00042,Marco,Verdi,bvn7np.rb58@example.it,+393941667739,Manager,2022-03-08
CO000100,AC00393,Stefano,Greco,yjwdco.kz5s@example.it,+393301142590,Manager,2024-08-24
CO000101,AC00441,Matteo,Ferrari,yj3d6m.1fmp@example.it,+393609868460,Buyer,2025-05-21
CO000102,AC00506,Andrea,Mancini,ryfzmy.oa2v@example.it,+393797014377,Owner,2022-06-30
CO000103,AC00320,Martina,Esposito,cywl97.00lf@example.it,+393754871154,Accountant,2023-09-05
CO000104,AC00215,Alessandro,Romano,qf5e8o.saq3@example.it,+393247735409,Chef,2023-11-28
CO000105,AC00071,Elena,Bianchi,eq8dh9.ptfn@example.it,+393961100122,Buyer,2023-08-26
CO000106,AC00236,Elena,Ferrari,m88ua3.a6s5@example.it,+393254056378,Chef,2022-09-05
CO000107,AC00281,Ilaria,De Luca,zxqomt.s1eg@example.it,+393564717215,Buyer,2025-05-22
CO000108,AC00162,Davide,Ferrari,pgvtn4.ypkw@example.it,+393453760819,Buyer,2022-12-25
CO000109,AC00191,Sara,Ricci,7493dx.wor1@example.it,+393714054123,Owner,2022-09-06
CO000110,AC00009,Martina,Greco,7dpubk.piqn@example.it,+393774428248,Buyer,2023-09-30
CO000111,AC00060,Sara,Costa,hqe86o.3z0a@example.it,+393950936607,Buyer,2024-08-07
CO000112,AC00225,Luca,Ricci,nik5j4.2oi6@example.it,+393848404640,Owner,2025-01-16
CO000113,AC00287,Giulia,Ricci,oafn33.vm89@example.it,+393431871569,Buyer,2023-10-25
CO000114,AC00169,Francesca,Esposito,i9gx32.uew9@example.it,+393272121887,Manager,2022-06-25
CO000115,AC00062,Francesca,Verdi,g6spd2.sw24@example.it,+393787861720,Manager,2023-12-24
CO000116,AC00349,Elena,Mancini,wjt8hd.pwvb@example.it,+393603123168,Manager,2023-03-02
CO000117,AC00442,Valentina,Gallo,z7cn0e.qwmi@example.it,+393853539923,Chef,2024-02-10
CO000118,AC00014,Marco,Ricci,6kti22.1xj7@example.it,+393365971719,Owner,2023-12-04
CO000119,AC00164,Chiara,Bruno,wwudqv.dk6d@example.it,+393746019530,Buyer,2022-03-22
CO000120,AC00420,Ilaria,Colombo,rn4ora.c8cy@example.it,+393824793683,Manager,2024-07-15
CO000121,AC00520,Ilaria,Gallo,nl63ga.guvb@example.it,+393714957846,Buyer,2022-05-18
CO000122,AC00548,Ilaria,Verdi,99rwtf.07gb@example.it,+393385089731,Buyer,2025-12-27
CO000123,AC00028,Valentina,Conti,asf5eh.lh07@example.it,+393746603870,Owner,2023-04-15
CO000124,AC00446,Francesca,Bianchi,jr8mtk.0rso@example.it,+393496471903,Chef,2022-12-16
CO000125,AC00208,Alessandro,Costa,ggy5ko.v1l2@example.it,+393556158918,Buyer,2025-02-23
CO000126,AC00470,Martina,Gallo,8r5p03.wvpu@example.it,+393533924832,Chef,2025-08-25
CO000127,AC00104,Andrea,Bruno,nwcgbs.vk3x@example.it,+393257359761,Buyer,2025-06-07
CO000128,AC00426,Alessandro,Bruno,8mbgl2.mcxn@example.it,+393905831207,Manager,2025-09-30
CO000129,AC00101,Ilaria,Romano,2elalq.26un@example.it,+393303051813,Manager,2022-11-06
CO000130,AC00541,Alessandro,Esposito,vsdkv5.4c6p@example.it,+393751810560,Manager,2024-11-09
CO000131,AC00522,Francesca,Ferrari,1llh2r.9peg@example.it,+393348286010,Buyer,2024-09-28
CO000132,AC00106,Marco,Marino,lnukx4.96k4@example.it,+393380518932,Buyer,2022-09-26
CO000133,AC00277,Ilaria,Mancini,o67bxc.d20j@example.it,+393975652273,Manager,2024-10-23
CO000134,AC00065,Giulia,Greco,1oulwo.zq48@example.it,+393711930104,Buyer,2024-02-09
CO000135,AC00188,Paolo,Bianchi,enwbba.dlyp@example.it,+393374497626,Buyer,2022-01-16
CO000136,AC00317,Sara,Verdi,gg6n69.75j2@example.it,+393201309060,Owner,2023-08-29
CO000137,AC00138,Davide,Ricci,d8clw3.jgeq@example.it,+393257954510,Chef,2025-10-13
CO000138,AC00343,Davide,Colombo,e5158o.qesu@example.it,+393390731191,Owner,2024-03-23
CO000139,AC00105,Davide,Bruno,x9l0ij.kcu5@example.it,+393791846322,Manager,2025-03-02
CO000140,AC00546,Alessandro,Colombo,x0hc8c.ah3g@example.it,+393429513860,Buyer,2025-08-28
CO000141,AC00380,Marco,De Luca,dhvs41.lqfs@example.it,+393860396220,Buyer,2023-04-27
CO000142,AC00110,Martina,Costa,6hn95s.2gkf@example.it,+393516265870,Manager,2024-06-13
CO000143,AC00545,Davide,Conti,l5xf50.i6gb@example.it,+393776228471,Owner,2025-08-21
CO000144,AC00354,Andrea,Verdi,xqj7dp.fssb@example.it,+393336860018,Buyer,2022-09-26
CO000145,AC00317,Elena,Bianchi,jdx0pk.ovtr@example.it,+393871380753,Manager,2023-02-18
CO000146,AC00266,Ilaria,Romano,pyx8hb.bjcd@example.it,+393445498683,Manager,2022-01-25
CO000147,AC00065,Luca,De Luca,iwzod0.5jh2@example.it,+393345245357,Owner,2022-11-12
CO000148,AC00333,Andrea,Ferrari,mkv0ds.zrk6@example.it,+393911338235,Chef,2023-07-25
CO000149,AC00513,Alessandro,Ricci,ilcg6f.armg@example.it,+393366952965,Manager,2023-12-26
CO000150,AC00133,Marco,Marino,jcy4v8.urid@example.it,+393263522122,Chef,2024-10-04
CO000151,AC00540,Marco,Greco,3u94sg.fdk0@example.it,+393470542162,Buyer,2025-07-23
CO000152,AC00535,Martina,Esposito,q09jrn.amz6@example.it,+393295219997,Buyer,2023-01-24
CO000153,AC00496,Sara,Rossi,146vey.0a94@example.it,+393497882085,Chef,2023-12-23
CO000154,AC00369,Davide,Rossi,xfri09.m0g8@example.it,+393499299747,Chef,2023-03-20
CO000155,AC00099,Matteo,Mancini,w85y6q.8sjy@example.it,+393723207215,Buyer,2024-09-25
CO000156,AC00317,Paolo,Ricci,5op9lb.smwp@example.it,+393499317479,Owner,2025-12-21
CO000157,AC00123,Alessandro,Bianchi,q82k8r.yqf8@example.it,+393903122317,Buyer,2024-12-16
CO000158,AC00320,Ilaria,Ricci,wxkk2a.bkvb@example.it,+393427013193,Buyer,2023-11-28
CO000159,AC00495,Luca,De Luca,lpxajm.k4x1@example.it,+393985058034,Buyer,2024-08-28
CO000160,AC00457,Marco,Verdi,fdj9hv.chrm@example.it,+393341389348,Owner,2023-12-22
CO000161,AC00522,Luca,Greco,3wp8dj.kluy@example.it,+393763607759,Chef,2023-01-03
CO000162,AC00520,Marco,Rossi,luyhet.kduw@example.it,+393317796183,Owner,2022-12-08
CO000163,AC00315,Giulia,Conti,tn5pep.l7zq@example.it,+393270908827,Manager,2022-10-31
CO000164,AC00542,Sara,Costa,ppoau8.p1wk@example.it,+393652539416,Owner,2024-02-03
CO000165,AC00479,Andrea,De Luca,isetuk.1ooa@example.it,+393586441343,Buyer,2025-10-29
CO000166,AC00020,Elena,De Luca,35qbb3.xmdk@example.it,+393819843588,Owner,2024-03-26
CO000167,AC00130,Giulia,Verdi,rlc0y0.bhf0@example.it,+393846868749,Owner,2022-04-22
CO000168,AC00293,Chiara,Rossi,riy4kl.9ary@example.it,+393962936714,Manager,2024-05-27
CO000169,AC00132,Davide,Romano,eavedh.r3pc@example.it,+393410757356,Chef,2024-10-26
CO000170,AC00356,Chiara,Greco,eo934t.3y4w@example.it,+393952801235,Owner,2024-07-18
CO000171,AC00054,Paolo,Marino,pwg3xg.0trk@example.it,+393210960630,Buyer,2023-12-04
CO000172,AC00387,Matteo,Ferrari,y8ryoz.dppb@example.it,+393922763821,Buyer,2024-04-25
CO000173,AC00265,Elena,Colombo,quakx6.wb68@example.it,+393335863763,Chef,2024-08-01
CO000174,AC00215,Giulia,Verdi,q0j9m4.smzo@example.it,+393989972571,Manager,2022-10-06
CO000175,AC00460,Luca,Colombo,cxmzmz.2k1k@example.it,+393873561227,Buyer,2023-01-17
CO000176,AC00458,Luca,Colombo,o6xnqx.u71s@example.it,+393988970904,Manager,2022-01-13
CO000177,AC00043,Paolo,Mancini,el8mwo.b4fd@example.it,+393214007786,Chef,2022-10-30
CO000178,AC00278,Stefano,De Luca,d7r193.0i6g@example.it,+393336988709,Owner,2022-06-09
CO000179,AC00130,Marco,Greco,61pcwe.4c1v@example.it,+393238778912,Buyer,2022-06-03
CO000180,AC00350,Stefano,De Luca,47lzn9.uhjp@example.it,+393880799423,Chef,2024-01-24
CO000181,AC00544,Luca,Bruno,khf33g.uwyh@example.it,+393423185442,Manager,2022-06-30
CO000182,AC00106,Andrea,Greco,36motc.g06x@example.it,+393254446946,Buyer,2025-04-18
CO000183,AC00001,Davide,Rossi,r3urmw.uecp@example.it,+393497424571,Buyer,2023-01-12
CO000184,AC00432,Matteo,Verdi,ncc2ke.ivli@example.it,+393967074846,Buyer,2024-02-15
CO000185,AC00306,Ilaria,Ferrari,77jzc5.8cu4@example.it,+393947193911,Buyer,2025-04-06
CO000186,AC00527,Stefano,Romano,7soczd.q7jb@example.it,+393360274973,Manager,2025-05-22
CO000187,AC00053,Ilaria,Gallo,mjm1ft.07x5@example.it,+393435168266,Buyer,2025-03-19
CO000188,AC00520,Stefano,Costa,ic86z1.b98v@example.it,+393340875515,Manager,2022-01-16
CO000189,AC00330,Sara,Colombo,wct8jb.bsxp@example.it,+393340214044,Chef,2025-01-19
CO000190,AC00325,Davide,Ferrari,k48ab1.3t4y@example.it,+393969807951,Owner,2025-02-17
CO000191,AC00114,Matteo,Greco,0tb1zp.pep6@example.it,+393671272468,Buyer,2022-09-10
CO000192,AC00147,Valentina,Esposito,9ngpci.vi05@example.it,+393734752443,Buyer,2024-12-19
CO000193,AC00166,Alessandro,Esposito,2u9az3.cegb@example.it,+393585661494,Manager,2025-07-13
CO000194,AC00379,Paolo,Gallo,mxikvr.ecjt@example.it,+393336571491,Owner,2025-12-03
CO000195,AC00139,Stefano,Gallo,r0m6hz.72kx@example.it,+393946736540,Manager,2022-01-31
CO000196,AC00299,Ilaria,Gallo,sjzsb6.zwkh@example.it,+393310848185,Chef,2024-11-10
CO000197,AC00276,Davide,Conti,e9i0hn.3f9z@example.it,+393461670087,Buyer,2024-01-01
CO000198,AC00178,Ilaria,De Luca,xqerbk.n3dk@example.it,+393600431302,Chef,2022-10-16
CO000199,AC00354,Sara,Marino,vr5nbh.gpbk@example.it,+393970788073,Accountant,2023-05-13
CO000200,AC00154,Sara,Costa,tmav67.63v1@example.it,+393408266509,Owner,2025-11-29
CO000201,AC00201,Alessandro,Costa,m3pp00.cdnz@example.it,+393244483868,Owner,2023-07-02
CO000202,AC00115,Ilaria,Romano,y47quu.sfn0@example.it,+393340276608,Accountant,2024-08-18
CO000203,AC00068,Francesca,Colombo,7ea28d.itmo@example.it,+393740455195,Accountant,2022-05-12
CO000204,AC00445,Andrea,Bianchi,wnx23v.eulj@example.it,+393300434640,Owner,2025-09-09
CO000205,AC00445,Ilaria,Marino,gqpq8r.4hc7@example.it,+393648747515,Owner,2024-05-07
CO000206,AC00326,Martina,Esposito,jvlcg1.j5ew@example.it,+393560202958,Owner,2025-03-01
CO000207,AC00359,Marco,Rossi,fwbeby.4ubz@example.it,+393250503264,Accountant,2023-06-05
CO000208,AC00145,Paolo,Mancini,czjjy4.mzvm@example.it,+393637182575,Owner,2022-01-30
CO000209,AC00275,Ilaria,Rossi,cpsiln.3ox5@example.it,+393472156675,Buyer,2023-09-19
CO000210,AC00509,Alessandro,Gallo,fl2mox.q9wf@example.it,+393625065275,Chef,2025-08-17
CO000211,AC00179,Davide,Ricci,b76av3.s2su@example.it,+393411571648,Owner,2022-01-04
CO000212,AC00477,Andrea,Esposito,mh3b0n.9cc7@example.it,+393203098643,Buyer,2025-09-10
CO000213,AC00414,Elena,Bianchi,isutp0.4sbr@example.it,+393932487266,Owner,2023-05-24
CO000214,AC00153,Elena,Marino,spj4ki.i1nq@example.it,+393261676939,Chef,2025-06-14
CO000215,AC00104,Paolo,Bianchi,0ei05n.ms6x@example.it,+393569833567,Buyer,2022-01-16
CO000216,AC00075,Martina,Rossi,vqpu3e.t1ov@example.it,+393967990960,Manager,2024-09-23
CO000217,AC00128,Davide,Ricci,ejklcp.9uw1@example.it,+393838737645,Manager,2024-08-13
CO000218,AC00345,Giulia,Bianchi,65aejt.70eb@example.it,+393447829401,Owner,2025-06-07
CO000219,AC00531,Giulia,Bruno,py9e57.6mou@example.it,+393672414583,Owner,2025-02-04
CO000220,AC00159,Marco,De Luca,ze66vw.9b0m@example.it,+393690612024,Buyer,2025-11-13
CO000221,AC00538,Davide,Esposito,qoq4kr.eg16@example.it,+393693490527,Buyer,2022-09-20
CO000222,AC00426,Sara,Colombo,7d6vnx.npsv@example.it,+393582100609,Manager,2024-12-24
CO000223,AC00023,Luca,Ferrari,8dkmu6.u4pl@example.it,+393627224321,Manager,2022-09-22
CO000224,AC00047,Elena,Ricci,lgf309.hsuw@example.it,+393827668881,Buyer,2025-09-23
CO000225,AC00525,Martina,Bianchi,dkejp5.k791@example.it,+393303029613,Buyer,2025-08-17
CO000226,AC00144,Davide,Greco,7xfh41.a68t@example.it,+393856169258,Buyer,2023-01-13
CO000227,AC00419,Davide,De Luca,2a3ah7.u0s3@example.it,+393776888276,Manager,2025-04-13
CO000228,AC00085,Luca,Ricci,kdz4pp.j590@example.it,+393440781191,Buyer,2024-08-20
CO000229,AC00416,Luca,De Luca,emc20l.sjws@example.it,+393341754500,Owner,2025-03-21
CO000230,AC00482,Andrea,Ricci,1zl7p7.2l4x@example.it,+393276276107,Owner,2023-04-21
CO000231,AC00456,Matteo,Bruno,5bwaen.7yjf@example.it,+393934210703,Buyer,2025-07-13
CO000232,AC00297,Alessandro,Colombo,30kh58.40ac@example.it,+393224607752,Buyer,2022-11-25
CO000233,AC00112,Francesca,Esposito,uhgpjn.vwrx@example.it,+393899823348,Buyer,2025-04-01
CO000234,AC00230,Andrea,Marino,gkikr2.omrd@example.it,+393373837856,Owner,2023-03-14
CO000235,AC00096,Marco,Rossi,e51k8l.xeql@example.it,+393842328417,Manager,2025-09-28
CO000236,AC00378,Elena,Greco,ezz1r2.roik@example.it,+393296270450,Owner,2025-10-22
CO000237,AC00156,Luca,Colombo,s62c1j.lopo@example.it,+393646365829,Owner,2025-05-07
CO000238,AC00421,Valentina,Bianchi,6j0m3l.oufh@example.it,+393932975067,Buyer,2022-01-16
CO000239,AC00105,Giulia,Gallo,w8wlva.02dz@example.it,+393936358957,Owner,2025-08-12
CO000240,AC00330,Paolo,Colombo,61txsn.hft4@example.it,+393997034641,Buyer,2024-05-17
CO000241,AC00439,Valentina,Mancini,i26lh0.7ba7@example.it,+393279486463,Buyer,2023-05-26
CO000242,AC00132,Giulia,Gallo,dorfki.1ije@example.it,+393704311256,Buyer,2024-09-10
CO000243,AC00382,Matteo,Mancini,2xe0jd.cz1o@example.it,+393520552711,Buyer,2025-06-16
CO000244,AC00138,Matteo,Verdi,a3vf02.gvll@example.it,+393606003375,Owner,2023-08-04
CO000245,AC00270,Valentina,Rossi,sajhjx.qkd8@example.it,+393852962225,Owner,2025-08-17
CO000246,AC00550,Luca,Esposito,ur6tia.ront@example.it,+393243890945,Chef,2022-01-06
CO000247,AC00396,Andrea,De Luca,di9oin.uxl3@example.it,+393370855252,Buyer,2025-05-28
CO000248,AC00464,Andrea,Ferrari,9dg5ri.fwr0@example.it,+393824961011,Buyer,2024-10-15
CO000249,AC00450,Matteo,Ricci,ui1jlm.fluo@example.it,+393770034425,Owner,2025-12-27
CO000250,AC00331,Alessandro,Mancini,ay12tl.xlzs@example.it,+393434258002,Buyer,2024-03-17
CO000251,AC00253,Sara,Gallo,49cdzn.1f0f@example.it,+393328131366,Buyer,2025-11-10
CO000252,AC00285,Chiara,Ferrari,p8bpg2.r0to@example.it,+393231322804,Buyer,2023-09-11
CO000253,AC00274,Davide,Ferrari,kpk7ys.wnxf@example.it,+393483114202,Manager,2025-08-11
CO000254,AC00020,Andrea,Bruno,shwzsj.q77z@example.it,+393466225137,Owner,2025-02-15
CO000255,AC00239,Ilaria,Mancini,4es3ao.fc9l@example.it,+393996581193,Owner,2023-02-09
CO000256,AC00270,Davide,Gallo,gytlcq.fmui@example.it,+393781122229,Manager,2024-09-23
CO000257,AC00418,Luca,Conti,w7j35v.lwoj@example.it,+393496251494,Accountant,2023-08-17
CO000258,AC00310,Matteo,Bruno,txcf0k.jd2v@example.it,+393271812746,Owner,2023-07-20
CO000259,AC00031,Ilaria,Ferrari,1l1vj3.5yrg@example.it,+393865815220,Buyer,2024-01-22
CO000260,AC00104,Paolo,Ricci,29d2ff.5l6b@example.it,+393615644788,Owner,2022-01-12
CO000261,AC00186,Andrea,Marino,spxlse.unnr@example.it,+393620780157,Owner,2025-05-17
CO000262,AC00128,Sara,Romano,lst548.84z4@example.it,+393374163458,Buyer,2022-06-14
CO000263,AC00210,Ilaria,Bruno,ur2yup.manq@example.it,+393361958664,Owner,2024-05-27
CO000264,AC00414,Marco,Verdi,y0hu97.ng0a@example.it,+393809336770,Manager,2025-08-10
CO000265,AC00281,Matteo,Gallo,psaldn.j7vb@example.it,+393287144741,Buyer,2022-03-19
CO000266,AC00253,Sara,Ricci,jrbzjw.8357@example.it,+393417995417,Owner,2025-12-28
CO000267,AC00019,Francesca,Bruno,9wrr51.3bb6@example.it,+393327254987,Owner,2023-09-06
CO000268,AC00136,Marco,Greco,f05ep4.cwcd@example.it,+393650756345,Manager,2024-05-18
CO000269,AC00223,Davide,Conti,t9gwa4.4lz6@example.it,+393722748935,Owner,2024-03-22
